"CODCLI";"dcadastro_dias";"d1";"d2";"d3";"dmedia";"ddesvio";"freq";"tgasto";"Y";"VL_DEV";"QT_DEV";"COMPROU";"r";"f";"v";"rfv";"cluster"
7681;720;36;81;207;108;88.6397202161649;17;9488.228;36;10222;3;"S";3;2;2;7;"gold customers"
7683;721;35;671;1;235.666666666667;377.392810389034;4;2361.3;NA;0;0;"N";2;1;1;4;"bronze customers"
7686;36;2;5;5;4;1.73205080756888;7;44814.3;5;0;0;"S";3;1;3;7;"gold customers"
7695;719;104;43;35;60.6666666666667;37.7403409276246;10;2510.245;153;0;0;"S";1;1;1;3;"bronze customers"
7697;705;282;322;61;221.666666666667;140.571452768097;4;1101.089;NA;0;0;"N";1;1;1;3;"bronze customers"
7705;716;77;67;17;53.6666666666667;32.1455025366432;18;18648.556;NA;0;0;"N";2;2;2;6;"silver customers"
7716;714;350;36;97;161;166.496246203931;12;8436.5;39;0;0;"S";3;2;2;7;"gold customers"
7722;637;8;1;5;4.66666666666667;3.51188458428425;91;36464.155;7;218;3;"S";3;4;3;10;"diamond customers"
7724;712;70;45;25;46.6666666666667;22.5462487641145;14;4431.943;53;0;0;"S";2;2;1;5;"silver customers"
7728;709;32;17;50;33;16.5227116418583;13;5943.025;38;0;0;"S";2;2;1;5;"silver customers"
7737;707;42;26;251;106.333333333333;125.540166215173;18;14587.111;66;0;0;"S";1;2;2;5;"silver customers"
7738;700;42;14;7;21;18.5202591774521;22;8002.464;17;0;0;"S";3;2;2;7;"gold customers"
7758;702;38;56;35;43;11.3578166916005;18;8013.581;32;0;0;"S";3;2;2;7;"gold customers"
7760;702;77;20;23;40;32.0780298646909;19;7090.108;38;0;0;"S";1;2;2;5;"silver customers"
7763;702;195;86;25;102;86.1220064791805;8;6541.515;NA;0;0;"N";1;1;2;4;"bronze customers"
7766;695;4;15;2;7;7;85;32634.7;28;796;1;"S";2;4;3;9;"diamond customers"
7769;700;167;26;23;72;82.2860863086828;14;10476.216;49;0;0;"S";1;2;2;5;"silver customers"
7776;699;43;220;42;101.666666666667;102.480892527989;14;10211.932;34;0;0;"S";3;2;2;7;"gold customers"
7777;699;6;7;22;11.6666666666667;8.9628864398325;36;29552.836;48;88452;1;"S";2;3;3;8;"gold customers"
7795;693;122;59;63;81.3333333333333;35.2751092604025;17;8470.495;NA;0;0;"N";1;2;2;5;"silver customers"
7808;692;43;282;40;121.666666666667;138.860841612505;4;798.95;333;0;0;"S";1;1;1;3;"bronze customers"
7814;692;56;74;29;53;22.6495033058122;16;9464.711;45;0;0;"S";3;2;2;7;"gold customers"
7817;691;24;65;2;30.3333333333333;31.9739477283199;24;14479.158;65;72336;3;"S";1;2;2;5;"silver customers"
7825;688;71;48;66;61.6666666666667;12.0968315410827;12;4150.568;89;0;0;"S";1;2;1;4;"bronze customers"
7827;688;33;329;49;137;166.469216373479;11;3854.944;35;0;0;"S";3;2;1;6;"silver customers"
7835;687;549;77;42;222.666666666667;283.154257134399;4;3892.992;NA;0;0;"N";2;1;1;4;"bronze customers"
7844;645;92;84;28;68;34.8711915483254;10;20598.524;55;6048;1;"S";2;1;3;6;"silver customers"
7850;684;21;31;17;23;7.21110255092798;15;5234.544;22;236;2;"S";3;2;1;6;"silver customers"
7862;673;18;28;4;16.6666666666667;12.0554275466834;23;15348.661;51;0;0;"S";2;2;2;6;"silver customers"
