"CODCLI";"dcadastro_dias";"d1";"d2";"d3";"dmedia";"ddesvio";"freq";"tgasto";"Y";"VL_DEV";"QT_DEV";"COMPROU";"r";"f";"v";"rfv";"cluster"
8494;503;21;9;35;21.6666666666667;13.0128141972954;22;10906.914;27;370556;6;"S";2;2;2;6;"silver customers"
8505;498;1;12;2;5;6.08276253029822;56;136371.895;26;347955;3;"S";3;3;4;10;"diamond customers"
8507;498;48;54;44;48.6666666666667;5.03322295684717;15;20310.84;37;25287;1;"S";2;2;3;7;"gold customers"
8510;497;36;18;13;22.3333333333333;12.0968315410827;9;12309.98;NA;0;0;"N";2;1;2;5;"silver customers"
8512;488;1;119;12;44;65.1843539509291;21;45300.802;8;1339;1;"S";3;2;3;8;"gold customers"
8524;492;69;15;20;34.6666666666667;29.8384539367128;11;22498.482;NA;0;0;"N";3;2;3;8;"gold customers"
8530;491;121;147;77;115;35.3836120259083;6;2297.41;48;0;0;"S";1;1;1;3;"bronze customers"
8533;490;122;81;93;98.6666666666667;21.0792156716832;6;1484.759;91;0;0;"S";1;1;1;3;"bronze customers"
8534;490;15;18;9;14;4.58257569495584;22;12893.961;15;0;0;"S";3;2;2;7;"gold customers"
8547;488;22;24;2;16;12.1655250605964;46;68549.219;1;17766;3;"S";3;3;4;10;"diamond customers"
8560;484;4;2;7;4.33333333333333;2.51661147842358;78;22060.479;3;104;1;"S";2;3;3;8;"gold customers"
8576;482;56;25;51;44;16.6433169770932;13;4495.52;51;0;0;"S";2;2;1;5;"silver customers"
8583;478;131;92;2;75;66.1588996280924;12;25792.156;37;0;0;"S";3;2;3;8;"gold customers"
8584;440;48;17;27;30.6666666666667;15.8219257150744;10;6076.99;13;70;1;"S";3;1;1;5;"silver customers"
8589;478;37;99;40;58.6666666666667;34.9618840072061;16;13458.632;NA;0;0;"N";2;2;2;6;"silver customers"
8594;204;36;15;40;30.3333333333333;13.4288247189891;8;1849.66;20;0;0;"S";3;1;1;5;"silver customers"
8596;364;8;2;6;5.33333333333333;3.05505046330389;25;24551.21;NA;0;0;"N";1;2;3;6;"silver customers"
8602;471;68;9;39;38.6666666666667;29.5014123955673;14;27168.29;NA;2240;2;"N";3;2;3;8;"gold customers"
8603;474;258;1;53;104;135.878622306822;4;1149.411;210;0;0;"S";1;1;1;3;"bronze customers"
8604;280;54;90;56;66.6666666666667;20.2319878739914;7;4281.81;62;331719;1;"S";2;1;1;4;"bronze customers"
8610;470;42;9;26;25.6666666666667;16.5025250593154;9;2673.323;119;0;0;"S";1;1;1;3;"bronze customers"
8612;470;87;48;47;60.6666666666667;22.8108161479008;10;7005.175;47;0;0;"S";3;1;2;6;"silver customers"
8616;469;191;56;112;119.666666666667;67.8257571526727;5;1453.568;NA;1917;1;"N";2;1;1;4;"bronze customers"
8631;467;2;8;20;10;9.16515138991168;46;209659.441;39;1977;1;"S";3;3;4;10;"diamond customers"
8637;464;34;49;15;32.6666666666667;17.0391705588427;17;5331.439;NA;0;0;"N";1;2;1;4;"bronze customers"
8640;463;70;75;27;57.3333333333333;26.3881286440197;10;3441.37;57;0;0;"S";3;1;1;5;"silver customers"
8649;463;67;43;43;51;13.856406460551;8;25330;45;0;0;"S";1;1;3;5;"silver customers"
8652;462;18;9;15;14;4.58257569495584;18;112996.68;18;0;0;"S";2;2;4;8;"gold customers"
8654;461;30;42;35;35.6666666666667;6.02771377334171;13;3210.5;48;0;0;"S";1;2;1;4;"bronze customers"
8655;462;26;45;4;25;20.5182845286832;16;12380.841;64;0;0;"S";1;2;2;5;"silver customers"
8664;205;4;3;17;8;7.81024967590665;8;5125.25;15;0;0;"S";3;1;1;5;"silver customers"
8671;456;10;12;16;12.6666666666667;3.05505046330389;25;6348.525;15;0;0;"S";3;2;2;7;"gold customers"
8672;443;7;12;6;8.33333333333333;3.21455025366432;56;97537.776;8;68926;3;"S";2;3;4;9;"diamond customers"
8687;447;114;18;17;49.6666666666667;55.7165445207555;16;5888.934;62;0;0;"S";2;2;1;5;"silver customers"
8688;453;37;7;35;26.3333333333333;16.7729941672122;17;13562.48;41;0;0;"S";2;2;2;6;"silver customers"
8690;453;26;2;34;20.6666666666667;16.6533279957291;18;13577.239;35;1598;1;"S";3;2;2;7;"gold customers"
8691;453;27;33;63;41;19.2873015219859;12;3112.154;35;0;0;"S";3;2;1;6;"silver customers"
8693;453;111;28;18;52.3333333333333;51.0522608053094;11;6002.194;117;0;0;"S";1;2;1;4;"bronze customers"
8700;449;22;24;42;29.3333333333333;11.0151410945722;18;121487.6;NA;0;0;"N";1;2;4;7;"gold customers"
8709;448;61;155;99;105;47.2863616701476;5;1460.71;NA;0;0;"N";1;1;1;3;"bronze customers"
8715;446;6;8;5;6.33333333333333;1.52752523165195;73;48460.937;10;462;1;"S";3;3;3;9;"diamond customers"
8717;440;2;6;19;9;8.88819441731559;41;74136;9;7562;3;"S";3;3;4;10;"diamond customers"
8720;447;7;2;40;16.3333333333333;20.6478408879314;15;19144.88;13;0;0;"S";3;2;2;7;"gold customers"
8722;446;5;56;14;25;27.2213151776324;6;1010.16;NA;981;1;"N";3;1;1;5;"silver customers"
8723;446;108;37;33;59.3333333333333;42.193996413392;16;16650.205;42;16767;1;"S";3;2;2;7;"gold customers"
8726;421;27;14;1;14;13;16;7154.2;NA;0;0;"N";3;2;2;7;"gold customers"
8732;441;9;1;67;25.6666666666667;36.0185137579736;15;52650.331;21;257204;3;"S";3;2;3;8;"gold customers"
8741;441;6;29;35;23.3333333333333;15.3079500042734;13;5665.409;NA;384043;1;"N";1;2;1;4;"bronze customers"
8744;440;1;16;14;10.3333333333333;8.14452781524708;16;8660.544;21;11556;1;"S";3;2;2;7;"gold customers"
8756;436;85;101;84;90;9.53939201416946;4;1457.66;167;0;0;"S";1;1;1;3;"bronze customers"
8757;433;34;1;5;13.3333333333333;18.0092568789868;10;20374.324;64;352;1;"S";1;1;3;5;"silver customers"
8759;435;26;21;4;17;11.5325625946708;25;5556.892;20;0;0;"S";3;2;1;6;"silver customers"
8760;433;15;84;49;49.3333333333333;34.5012077083301;8;7475.965;NA;0;0;"N";1;1;2;4;"bronze customers"
8762;428;4;7;3;4.66666666666667;2.08166599946613;54;10394.236;7;0;0;"S";3;3;2;8;"gold customers"
8763;434;6;6;3;5;1.73205080756888;29;17028.969;NA;44236;1;"N";2;3;2;7;"gold customers"
8766;419;56;34;105;65;36.3455636907725;8;1681.597;NA;0;0;"N";2;1;1;4;"bronze customers"
8778;429;14;9;21;14.6666666666667;6.02771377334171;25;14400.992;31;43943;1;"S";3;2;2;7;"gold customers"
8787;426;14;2;2;6;6.92820323027551;53;13113.22;14;0;0;"S";3;3;2;8;"gold customers"
8788;427;4;2;34;13.3333333333333;17.925772879665;28;17045.954;24;2158;4;"S";2;2;2;6;"silver customers"
8791;426;63;46;27;45.3333333333333;18.0092568789868;18;48668.259;35;0;0;"S";2;2;3;7;"gold customers"
8792;426;54;31;33;39.3333333333333;12.7410099024109;6;1290.23;NA;0;0;"N";1;1;1;3;"bronze customers"
8795;421;26;2;34;20.6666666666667;16.6533279957291;18;19140.061;35;0;0;"S";3;2;2;7;"gold customers"
8798;421;10;10;15;11.6666666666667;2.88675134594813;33;77747.298;17;180702;3;"S";2;3;4;9;"diamond customers"
8815;369;71;12;8;30.3333333333333;35.2751092604025;29;8963.849;65;210809;2;"S";2;3;2;7;"gold customers"
8817;415;52;111;43;68.6666666666667;36.9368831025756;5;11686.999;174;0;0;"S";1;1;2;4;"bronze customers"
8824;337;7;7;6;6.66666666666667;0.577350269189626;27;29514;22;6142;1;"S";3;2;3;8;"gold customers"
8826;414;13;15;12;13.3333333333333;1.52752523165195;15;18624.475;28;0;0;"S";3;2;2;7;"gold customers"
8828;413;71;63;3;45.6666666666667;37.1662929727103;11;17260.01;24;0;0;"S";2;2;2;6;"silver customers"
8830;414;35;76;182;97.6666666666667;75.8573222130424;6;1143.884;NA;52233;1;"N";1;1;1;3;"bronze customers"
8834;411;4;106;155;88.3333333333333;77.0346242499652;9;3955.655;11;0;0;"S";3;1;1;5;"silver customers"
8837;377;58;33;26;39;16.8226038412607;8;7133.85;68;699;1;"S";1;1;2;4;"bronze customers"
8843;399;141;97;140;126;25.1197133741609;5;1160.385;NA;0;0;"N";2;1;1;4;"bronze customers"
8854;407;17;26;26;23;5.19615242270663;10;6303.32;NA;0;0;"N";2;1;2;5;"silver customers"
8856;406;14;6;2;7.33333333333333;6.11010092660779;9;8652.836;64;0;0;"S";2;1;2;5;"silver customers"
8863;282;33;1;3;12.3333333333333;17.925772879665;10;7197.47;54;0;0;"S";1;1;2;4;"bronze customers"
8864;405;7;19;7;11;6.92820323027551;33;19938.94;7;0;0;"S";2;3;3;8;"gold customers"
8866;404;28;51;98;59;35.6791255498225;11;12893.572;29;0;0;"S";3;2;2;7;"gold customers"
8872;400;16;55;139;70;62.8569805192709;7;1297.48;NA;17584;1;"N";3;1;1;5;"silver customers"
8884;392;17;53;18;29.3333333333333;20.5020324195757;13;16617.374;NA;108;1;"N";1;2;2;5;"silver customers"
8893;307;31;32;11;24.6666666666667;11.8462370959446;6;1965.33;NA;0;0;"N";1;1;1;3;"bronze customers"
8904;362;49;55;14;39.3333333333333;22.1434715736565;19;60545.25;18;1120;2;"S";2;2;3;7;"gold customers"
8909;378;34;23;26;27.6666666666667;5.68624070307733;13;9106.97;34;0;0;"S";2;2;2;6;"silver customers"
8922;371;57;85;123;88.3333333333333;33.1260219968129;5;3334.26;NA;390;1;"N";1;1;1;3;"bronze customers"
8927;370;25;6;29;20;12.2882057274445;19;18992.564;29;0;0;"S";2;2;2;6;"silver customers"
8931;364;8;14;14;12;3.46410161513775;12;3874.3;15;0;0;"S";2;2;1;5;"silver customers"
8935;362;4;28;18;16.6666666666667;12.0554275466834;28;5459.4;7;0;0;"S";3;2;1;6;"silver customers"
8936;366;8;4;30;14;14;43;34554.96;22;0;0;"S";2;3;3;8;"gold customers"
8937;351;7;7;21;11.6666666666667;8.08290376865476;51;66098.88;7;1467;2;"S";3;3;4;10;"diamond customers"
8957;362;14;8;22;14.6666666666667;7.02376916856849;29;5677.949;8;0;0;"S";3;3;1;7;"gold customers"
8960;191;28;5;10;14.3333333333333;12.0968315410827;10;2387.77;50;0;0;"S";3;1;1;5;"silver customers"
8962;359;40;9;278;109;147.176764470483;5;1792.789;NA;0;0;"N";2;1;1;4;"bronze customers"
8964;359;15;6;15;12;5.19615242270663;33;13514.596;33;298128;1;"S";2;3;2;7;"gold customers"
8972;358;42;20;31;31;11;18;6558.93;29;281178;1;"S";3;2;2;7;"gold customers"
8974;342;35;78;41;51.3333333333333;23.2880512996114;7;2902.62;NA;0;0;"N";2;1;1;4;"bronze customers"
8976;349;265;7;5;92.3333333333333;149.537063410157;15;8077.46;51;0;0;"S";3;2;2;7;"gold customers"
8978;356;80;41;230;117;99.7847683767418;4;6046.3;NA;0;0;"N";3;1;1;5;"silver customers"
8979;356;9;4;9;7.33333333333333;2.88675134594813;46;13465.53;9;18;1;"S";3;3;2;8;"gold customers"
8984;355;9;215;48;90.6666666666667;109.427297021051;5;1232.03;85;0;0;"S";1;1;1;3;"bronze customers"
8988;306;3;3;12;6;5.19615242270663;29;19623.79;3;1591;1;"S";2;3;2;7;"gold customers"
8997;350;18;19;6;14.3333333333333;7.23417813807024;33;62263.37;20;1794;1;"S";3;3;4;10;"diamond customers"
8999;310;40;29;21;30;9.53939201416946;14;7066.5;24;0;0;"S";3;2;2;7;"gold customers"
9001;350;104;75;31;70;36.7559518989782;5;1301.59;NA;0;0;"N";1;1;1;3;"bronze customers"
9014;341;33;30;14;25.6666666666667;10.2143689640297;9;26744.78;42;0;0;"S";2;1;3;6;"silver customers"
9018;336;29;49;32;36.6666666666667;10.785793124909;16;4119.94;30;0;0;"S";2;2;1;5;"silver customers"
9022;259;7;6;22;11.6666666666667;8.9628864398325;9;5608.69;22;0;0;"S";3;1;1;5;"silver customers"
9024;335;6;13;1;6.66666666666667;6.02771377334171;18;16224.9;28;0;0;"S";3;2;2;7;"gold customers"
9036;336;49;19;55;41;19.2873015219859;10;3556.07;56;10638;1;"S";3;1;1;5;"silver customers"
9042;331;28;29;5;20.6666666666667;13.5769412362775;15;2850.73;28;0;0;"S";2;2;1;5;"silver customers"
9063;329;70;58;103;77;23.3023603954621;5;1146.15;NA;0;0;"N";3;1;1;5;"silver customers"
9065;327;16;13;9;12.6666666666667;3.51188458428425;37;18963.87;27;449423;6;"S";2;3;2;7;"gold customers"
9068;324;54;44;58;52;7.21110255092798;6;1515.55;177;0;0;"S";1;1;1;3;"bronze customers"
9074;328;74;63;1;46;39.3573373083089;13;8096.38;NA;905;2;"N";3;2;2;7;"gold customers"
9075;328;27;33;35;31.6666666666667;4.16333199893227;7;4895.17;35;0;0;"S";3;1;1;5;"silver customers"
9076;208;1;5;1;2.33333333333333;2.3094010767585;20;39327.9;48;0;0;"S";1;2;3;6;"silver customers"
9094;322;70;36;1;35.6666666666667;34.5012077083301;21;64597.79;28;285652;3;"S";3;2;4;9;"diamond customers"
9097;321;20;40;133;64.3333333333333;60.3020176555755;10;6748.43;NA;0;0;"N";2;1;2;5;"silver customers"
9106;316;20;28;11;19.6666666666667;8.50490054811538;15;40159.01;29;48609;2;"S";2;2;3;7;"gold customers"
9107;314;108;104;82;98;14;4;1803.6;NA;0;0;"N";2;1;1;4;"bronze customers"
9110;317;16;7;1;8;7.54983443527075;10;11423.87;60;5165;2;"S";2;1;2;5;"silver customers"
9124;314;42;49;21;37.3333333333333;14.5716619962629;11;4148.4;21;0;0;"S";2;2;1;5;"silver customers"
9130;310;55;17;14;28.6666666666667;22.8546129552293;11;4615.16;142;0;0;"S";1;2;1;4;"bronze customers"
9131;313;63;30;33;42;18.2482875908947;8;9612.68;NA;0;0;"N";3;1;2;6;"silver customers"
9140;308;1;3;22;8.66666666666667;11.5902257671425;11;11428.82;42;0;0;"S";2;2;2;6;"silver customers"
9142;308;28;28;13;23;8.66025403784439;12;3323.89;49;0;0;"S";1;2;1;4;"bronze customers"
9143;308;270;12;6;96;150.718280244966;5;1094.9;34;0;0;"S";2;1;1;4;"bronze customers"
9149;266;16;20;35;23.6666666666667;10.0166528008778;18;6021;19;1029;1;"S";3;2;1;6;"silver customers"
9150;302;27;43;36;35.3333333333333;8.02080627701064;9;8664.21;54;0;0;"S";2;1;2;5;"silver customers"
9157;301;7;8;36;17;16.4620776331543;14;3812.92;27;0;0;"S";2;2;1;5;"silver customers"
9158;301;73;43;55;57;15.0996688705415;5;1051.45;81;0;0;"S";1;1;1;3;"bronze customers"
9172;296;32;26;48;35.3333333333333;11.3724814061547;9;2279.03;34;0;0;"S";2;1;1;4;"bronze customers"
9185;289;127;28;15;56.6666666666667;61.2562921938092;5;1880.67;41;0;0;"S";2;1;1;4;"bronze customers"
9202;281;70;29;28;42.3333333333333;23.9652526240249;8;3370.92;21;1425;1;"S";2;1;1;4;"bronze customers"
9203;282;61;57;21;46.3333333333333;22.0302821891444;5;1361.57;28;0;0;"S";2;1;1;4;"bronze customers"
9204;281;2;6;1;3;2.64575131106459;67;91699.87;5;70424;4;"S";3;3;4;10;"diamond customers"
9205;280;20;26;185;77;93.5788437628933;7;1445.95;NA;17358;1;"N";3;1;1;5;"silver customers"
9206;280;12;16;9;12.3333333333333;3.51188458428425;16;26946.62;15;0;0;"S";2;2;3;7;"gold customers"
9209;280;24;26;35;28.3333333333333;5.85946527708232;5;1498.82;210;0;0;"S";1;1;1;3;"bronze customers"
9218;198;116;8;28;50.6666666666667;57.4572304704406;6;4044.1;36;0;0;"S";3;1;1;5;"silver customers"
9219;274;42;88;38;56;27.7848879788996;11;4322.21;NA;0;0;"N";2;2;1;5;"silver customers"
9225;271;38;43;41;40.6666666666667;2.51661147842358;7;2278.41;37;0;0;"S";2;1;1;4;"bronze customers"
9235;238;32;11;6;16.3333333333333;13.7961347243833;26;8256.96;37;0;0;"S";3;2;2;7;"gold customers"
9236;266;26;15;41;27.3333333333333;13.0511813003013;10;10731.2;NA;0;0;"N";1;1;2;4;"bronze customers"
9239;266;32;30;86;49.3333333333333;31.7700068198503;6;1215.5;36;0;0;"S";2;1;1;4;"bronze customers"
9245;250;107;109;14;76.6666666666667;54.2801375581652;7;7141.2;16;0;0;"S";3;1;2;6;"silver customers"
9250;261;99;10;28;45.6666666666667;47.056703383613;7;4184.19;52;0;0;"S";3;1;1;5;"silver customers"
9253;96;55;2;3;20;30.3150127824482;4;5340.08;NA;0;0;"N";1;1;1;3;"bronze customers"
9257;260;6;5;2;4.33333333333333;2.08166599946613;31;10856.99;7;0;0;"S";2;3;2;7;"gold customers"
9258;247;77;15;5;32.3333333333333;39.0042732701602;14;8915.35;NA;49668;2;"N";1;2;2;5;"silver customers"
9259;244;36;17;25;26;9.53939201416946;5;5736.5;141;0;0;"S";1;1;1;3;"bronze customers"
9266;257;37;8;22;22.3333333333333;14.5028732785381;13;4568.99;32;0;0;"S";3;2;1;6;"silver customers"
9267;257;37;8;22;22.3333333333333;14.5028732785381;11;3784.41;32;0;0;"S";3;2;1;6;"silver customers"
9268;251;14;5;2;7;6.2449979983984;43;25311.08;5;172112;2;"S";3;3;3;9;"diamond customers"
9271;254;185;18;45;82.6666666666667;89.6455985162313;4;2441.47;26;0;0;"S";3;1;1;5;"silver customers"
9272;254;41;9;106;52;49.4267134250296;7;4426.1;NA;0;0;"N";2;1;1;4;"bronze customers"
9274;253;42;22;42;35.3333333333333;11.5470053837925;11;2955.06;56;0;0;"S";3;2;1;6;"silver customers"
9280;232;45;14;112;57;50.0899191454728;5;1377.96;NA;0;0;"N";1;1;1;3;"bronze customers"
9281;251;3;13;6;7.33333333333333;5.13160143944688;31;49692.63;14;1109336;1;"S";3;3;3;9;"diamond customers"
9283;245;26;15;19;20;5.56776436283002;6;5220.96;71;0;0;"S";1;1;1;3;"bronze customers"
9285;247;27;16;38;27;11;10;4292.05;59;0;0;"S";1;1;1;3;"bronze customers"
9287;245;40;30;61;43.6666666666667;15.8219257150744;10;5449.88;11;0;0;"S";2;1;1;4;"bronze customers"
9291;245;17;35;21;24.3333333333333;9.45163125250522;11;2909.1;12;212;1;"S";3;2;1;6;"silver customers"
9293;236;108;22;25;51.6666666666667;48.8091521472493;6;7363.97;20;0;0;"S";2;1;2;5;"silver customers"
9294;238;43;49;57;49.6666666666667;7.02376916856849;5;1319.7;57;0;0;"S";1;1;1;3;"bronze customers"
9296;239;18;15;34;22.3333333333333;10.2143689640297;7;8325;48;0;0;"S";1;1;2;4;"bronze customers"
9299;240;3;23;6;10.6666666666667;10.785793124909;35;17049.98;35;636448;2;"S";2;3;2;7;"gold customers"
9301;226;3;2;7;4;2.64575131106459;8;3353.93;NA;218;1;"N";1;1;1;3;"bronze customers"
9302;239;98;70;57;75;20.952326839757;4;1405.71;34;0;0;"S";2;1;1;4;"bronze customers"
9307;239;33;28;29;30;2.64575131106459;11;5747.98;49;0;0;"S";2;2;1;5;"silver customers"
9310;238;153;9;13;58.3333333333333;82.0081296783028;4;906.05;NA;0;0;"N";1;1;1;3;"bronze customers"
9313;238;19;17;4;13.3333333333333;8.14452781524708;18;9096.48;6;0;0;"S";3;2;2;7;"gold customers"
9314;223;15;10;52;25.6666666666667;22.9419557434264;7;19228.88;90;295;1;"S";1;1;2;4;"bronze customers"
9315;238;29;7;60;32;26.6270539113887;7;5175.9;56;0;0;"S";1;1;1;3;"bronze customers"
9318;209;15;110;43;56;48.8159809898357;4;4671.44;NA;0;0;"N";1;1;1;3;"bronze customers"
9329;233;23;34;82;46.3333333333333;31.374086972107;5;1242.72;57;0;0;"S";1;1;1;3;"bronze customers"
9336;219;28;14;13;18.3333333333333;8.38649708360608;10;9123.99;36;7809;1;"S";2;1;2;5;"silver customers"
9341;232;42;1;13;18.6666666666667;21.0792156716832;11;7401.16;42;0;0;"S";2;2;2;6;"silver customers"
9342;226;43;41;19;34.3333333333333;13.3166562369588;6;2019.26;69;31476;1;"S";1;1;1;3;"bronze customers"
9347;231;34;46;33;37.6666666666667;7.23417813807024;7;1976.08;22;0;0;"S";3;1;1;5;"silver customers"
9348;231;18;15;24;19;4.58257569495584;14;3575.07;17;0;0;"S";3;2;1;6;"silver customers"
9349;229;20;21;12;17.6666666666667;4.93288286231625;15;15845.32;17;6952;1;"S";3;2;2;7;"gold customers"
9355;188;21;11;31;21;10;7;5773.96;NA;0;0;"N";1;1;1;3;"bronze customers"
9359;210;7;7;5;6.33333333333333;1.15470053837925;34;15741.87;NA;753244;9;"N";1;3;2;6;"silver customers"
9363;226;11;23;4;12.6666666666667;9.60902353693305;21;57633.55;28;687;1;"S";3;2;3;8;"gold customers"
9365;226;56;51;69;58.6666666666667;9.29157324317757;6;2333.68;48;0;0;"S";3;1;1;5;"silver customers"
9371;210;33;44;61;46;14.1067359796659;5;4743.63;49;0;0;"S";1;1;1;3;"bronze customers"
9374;224;14;8;120;47.3333333333333;63.0026454471027;4;4953.32;112;0;0;"S";1;1;1;3;"bronze customers"
9376;216;42;19;14;25;14.9331845230681;9;6513.27;35;12464;1;"S";2;1;2;5;"silver customers"
9379;222;13;10;38;20.3333333333333;15.3731367434669;7;2894.83;99;0;0;"S";1;1;1;3;"bronze customers"
9381;222;18;16;12;15.3333333333333;3.05505046330389;13;36343.19;NA;6725;1;"N";3;2;3;8;"gold customers"
9385;217;27;37;27;30.3333333333333;5.77350269189626;6;1399.36;42;0;0;"S";3;1;1;5;"silver customers"
9386;205;4;14;70;29.3333333333333;35.5715241918776;11;25928.61;29;0;0;"S";3;2;3;8;"gold customers"
9387;218;13;31;33;25.6666666666667;11.0151410945722;8;3189.15;37;0;0;"S";2;1;1;4;"bronze customers"
9395;211;95;86;7;62.6666666666667;48.4183160935336;4;1666.94;60;0;0;"S";2;1;1;4;"bronze customers"
9398;217;14;83;50;49;34.5108678534748;5;4985;44;804;1;"S";3;1;1;5;"silver customers"
9402;215;30;53;36;39.6666666666667;11.9303534454489;6;1794.28;49;0;0;"S";2;1;1;4;"bronze customers"
9404;212;30;44;32;35.3333333333333;7.57187779440036;6;1654.21;NA;0;0;"N";1;1;1;3;"bronze customers"
9412;205;26;22;20;22.6666666666667;3.05505046330389;5;694.89;NA;0;0;"N";2;1;1;4;"bronze customers"
9414;208;6;8;6;6.66666666666667;1.15470053837925;28;8989.02;10;0;0;"S";2;2;2;6;"silver customers"
9415;140;37;35;40;37.3333333333333;2.51661147842358;5;1175;NA;0;0;"N";3;1;1;5;"silver customers"
9416;208;1;13;20;11.3333333333333;9.60902353693305;15;8257.15;34;7276;1;"S";3;2;2;7;"gold customers"
9424;203;14;7;14;11.6666666666667;4.04145188432738;14;8368.75;42;0;0;"S";1;2;2;5;"silver customers"
9427;203;14;13;29;18.6666666666667;8.9628864398325;8;6272.84;71;15541;2;"S";1;1;2;4;"bronze customers"
9431;203;35;15;7;19;14.422205101856;6;2029.52;43;75;1;"S";3;1;1;5;"silver customers"
9433;202;14;28;28;23.3333333333333;8.08290376865476;6;1245.16;44;0;0;"S";1;1;1;3;"bronze customers"
9435;202;42;69;62;57.6666666666667;14.0118997046558;4;1736.77;NA;0;0;"N";2;1;1;4;"bronze customers"
9436;201;28;70;88;62;30.7896086366813;4;983.5;17;331;1;"S";2;1;1;4;"bronze customers"
9440;202;41;55;35;43.6666666666667;10.2632028788938;4;7162.5;114;62;1;"S";1;1;2;4;"bronze customers"
9441;201;92;59;28;59.6666666666667;32.0052079095471;4;1168.41;38;2509;2;"S";2;1;1;4;"bronze customers"
9443;201;49;54;49;50.6666666666667;2.88675134594813;4;6200;NA;0;0;"N";1;1;2;4;"bronze customers"
9446;201;7;170;17;64.6666666666667;91.3582691021088;4;648.45;NA;13342;1;"N";3;1;1;5;"silver customers"
9447;190;5;22;34;20.3333333333333;14.5716619962629;6;1019.1;51;0;0;"S";2;1;1;4;"bronze customers"
9450;184;18;14;14;15.3333333333333;2.3094010767585;10;10327.37;52;0;0;"S";2;1;2;5;"silver customers"
9455;196;56;42;82;60;20.2977831301844;4;635.08;42;0;0;"S";2;1;1;4;"bronze customers"
9457;125;56;28;25;36.3333333333333;17.0977581376429;4;1443.78;NA;0;0;"N";2;1;1;4;"bronze customers"
9459;197;10;8;14;10.6666666666667;3.05505046330389;20;8490.19;14;0;0;"S";3;2;2;7;"gold customers"
9464;195;14;29;21;21.3333333333333;7.50555349946513;10;3456.98;NA;0;0;"N";3;1;1;5;"silver customers"
9473;188;1;1;43;15;24.2487113059643;12;3750.53;19;2917;1;"S";3;2;1;6;"silver customers"
9480;191;14;28;28;23.3333333333333;8.08290376865476;8;1949.02;28;0;0;"S";3;1;1;5;"silver customers"
9483;191;28;14;21;21;7;7;1541.9;70;7479;2;"S";2;1;1;4;"bronze customers"
9485;177;70;28;70;56;24.2487113059643;4;1927.72;NA;0;0;"N";3;1;1;5;"silver customers"
9488;163;14;28;28;23.3333333333333;8.08290376865476;7;4396.64;14;0;0;"S";3;1;1;5;"silver customers"
9490;189;88;70;12;56.6666666666667;39.7156560229506;4;800.01;38;0;0;"S";2;1;1;4;"bronze customers"
9491;190;56;56;14;42;24.2487113059643;6;2018.05;28;0;0;"S";2;1;1;4;"bronze customers"
9494;189;28;1;28;19;15.5884572681199;7;2523.75;27;0;0;"S";2;1;1;4;"bronze customers"
9495;189;28;42;14;28;14;8;2078.59;56;0;0;"S";1;1;1;3;"bronze customers"
9504;187;84;42;13;46.3333333333333;35.6978057215473;4;1612.09;NA;0;0;"N";1;1;1;3;"bronze customers"
9510;184;44;5;51;33.3333333333333;24.7857485933617;5;1320.86;78;0;0;"S";1;1;1;3;"bronze customers"
9512;184;27;16;25;22.6666666666667;5.85946527708232;8;2311.23;NA;0;0;"N";2;1;1;4;"bronze customers"
9516;187;141;17;10;56;73.6953187115708;4;3259.6;NA;0;0;"N";2;1;1;4;"bronze customers"
9522;184;8;95;42;48.3333333333333;43.844421918111;5;1764.59;NA;0;0;"N";2;1;1;4;"bronze customers"
9523;156;70;28;56;51.3333333333333;21.3853532431273;4;2023.38;NA;0;0;"N";2;1;1;4;"bronze customers"
9530;183;28;70;42;46.6666666666667;21.3853532431273;4;882.55;NA;0;0;"N";1;1;1;3;"bronze customers"
9537;175;8;9;5;7.33333333333333;2.08166599946613;31;17277.99;22;2401;2;"S";3;3;2;8;"gold customers"
9547;162;28;25;72;41.6666666666667;26.3122278291545;5;842.35;28;0;0;"S";2;1;1;4;"bronze customers"
9550;162;3;25;17;15;11.13552872566;4;666.28;123;16551;1;"S";1;1;1;3;"bronze customers"
9551;161;25;31;55;37;15.8745078663875;4;1194.15;56;0;0;"S";1;1;1;3;"bronze customers"
9553;168;29;26;65;40;21.7025344142107;5;1528.15;34;0;0;"S";2;1;1;4;"bronze customers"
9555;174;28;8;20;18.6666666666667;10.0664459136943;6;5835.09;42;0;0;"S";2;1;1;4;"bronze customers"
9563;168;45;11;1;19;23.0651251893416;8;1755.19;NA;0;0;"N";1;1;1;3;"bronze customers"
9565;170;28;14;28;23.3333333333333;8.08290376865476;7;5027.29;42;0;0;"S";2;1;1;4;"bronze customers"
9567;169;42;42;39;41;1.73205080756888;5;5990.3;NA;0;0;"N";2;1;1;4;"bronze customers"
9568;169;28;14;42;28;14;5;1490.36;70;0;0;"S";2;1;1;4;"bronze customers"
9569;169;14;14;14;14;0;9;11177.84;17;0;0;"S";2;1;2;5;"silver customers"
9571;168;1;14;21;12;10.1488915650922;4;950.24;161;1168;1;"S";1;1;1;3;"bronze customers"
9574;168;18;25;54;32.3333333333333;19.0875177362939;5;887.3;51;0;0;"S";1;1;1;3;"bronze customers"
9580;139;5;2;11;6;4.58257569495584;21;8903.95;7;0;0;"S";2;2;2;6;"silver customers"
