CODCLI;VENDAS;DATA
1480;346,69;28/06/2013
1481;11,20;29/06/2013
262;160,80;01/07/2013
423;218,91;01/07/2013
1213;980,40;19/06/2013
1462;384,78;17/06/2013
410;1860,00;20/06/2013
1054;557,07;25/06/2013
834;1890,00;29/06/2013
1462;377,58;01/07/2013
1480;279,85;18/06/2013
1213;12,50;19/06/2013
410;3492,00;04/07/2013
410;966,00;04/07/2013
431;253,80;18/06/2013
1220;160,80;18/06/2013
684;210,76;17/06/2013
410;0,00;04/07/2013
410;570,00;04/07/2013
1490;154,00;20/06/2013
410;8434,25;03/07/2013
1513;72,72;08/07/2013
17;468,94;20/06/2013
1467;218,80;04/07/2013
1114;147,00;17/06/2013
1256;44,23;06/07/2013
434;590,08;19/06/2013
611;255,68;25/06/2013
410;2998,00;05/07/2013
434;238,14;06/07/2013
684;271,14;08/07/2013
1171;724,33;18/06/2013
765;294,20;18/06/2013
75;720,00;26/06/2013
410;3011,50;27/06/2013
684;208,00;28/06/2013
15;203,66;01/07/2013
410;1190,00;26/06/2013
1226;13,80;28/06/2013
410;4035,00;03/07/2013
10;1888,37;04/07/2013
1447;419,51;05/07/2013
15;395,82;08/07/2013
86;720,00;26/06/2013
1226;1418,31;28/06/2013
25;220,80;04/07/2013
1167;397,26;08/07/2013
1220;319,80;01/07/2013
834;313,41;01/07/2013
824;542,08;04/07/2013
1134;240,60;25/06/2013
15;574,74;25/06/2013
684;566,36;26/06/2013
88;720,00;26/06/2013
611;382,00;04/07/2013
1513;1595,00;05/07/2013
462;671,20;20/06/2013
142;1277,50;03/07/2013
434;54,60;08/07/2013
1220;795,60;25/06/2013
434;566,90;03/07/2013
740;207,00;19/06/2013
434;238,14;22/06/2013
410;750,00;22/06/2013
1253;263,64;03/07/2013
1171;212,09;08/07/2013
1213;160,25;19/06/2013
434;115,50;29/06/2013
1144;467,49;01/07/2013
739;538,00;18/06/2013
741;538,00;18/06/2013
1220;1246,94;08/07/2013
1054;207,49;08/07/2013
559;1093,00;29/06/2013
799;282,00;01/07/2013
834;286,80;01/07/2013
765;286,06;02/07/2013
142;861,10;29/06/2013
1481;123,00;04/07/2013
1467;130,00;21/06/2013
1481;259,90;01/07/2013
740;175,40;03/07/2013
1114;353,80;21/06/2013
1033;307,70;04/07/2013
1233;491,29;02/07/2013
684;231,20;01/07/2013
1054;568,40;03/07/2013
199;711,00;21/06/2013
1033;247,35;20/06/2013
1179;182,89;08/07/2013
1167;398,26;17/06/2013
17;939,37;04/07/2013
1213;0,00;24/07/2013
434;955,53;24/07/2013
1114;677,90;23/07/2013
685;481,80;25/07/2013
765;503,895;09/07/2013
462;214,8;11/07/2013
5;1360,04;16/07/2013
123;324,7;24/07/2013
142;624,83;24/07/2013
1213;0;25/07/2013
410;445;26/07/2013
1462;351,445;16/07/2013
765;297,55;17/07/2013
715;600;17/07/2013
142;880,4;17/07/2013
410;1154;17/07/2013
611;200,1;26/07/2013
1134;240,4;29/07/2013
1481;180,63;29/07/2013
684;447,243;29/07/2013
1144;403,8;29/07/2013
684;491,34;12/07/2013
1033;265,5;25/07/2013
10;493,51;18/07/2013
684;370,1;17/07/2013
1481;40,41;12/07/2013
338;478,8;13/07/2013
1481;65,5;17/07/2013
17;464,46;18/07/2013
684;410,831;22/07/2013
199;1004,74;10/07/2013
684;163,08;15/07/2013
958;150;25/07/2013
1462;168,4;22/07/2013
1144;284,961;22/07/2013
5;1005;20/07/2013
958;477;22/07/2013
1167;254,35;23/07/2013
1171;280,53;23/07/2013
434;466,15;10/07/2013
1220;434;15/07/2013
684;150;23/07/2013
1144;148,8;23/07/2013
1226;230,55;24/07/2013
958;238,5;17/07/2013
15;100;16/07/2013
611;163,8;16/07/2013
15;174,687;16/07/2013
1033;272,4;18/07/2013
434;620,35;17/07/2013
1281;383,609;10/07/2013
1226;0;19/07/2013
75;850,2;22/07/2013
559;1093;18/07/2013
1226;96,4;19/07/2013
410;623;27/07/2013
410;430,8;11/07/2013
96;386,4;23/07/2013
137;505,6;10/07/2013
1033;300,5;11/07/2013
462;1317;12/07/2013
684;257,4;26/07/2013
1220;365,676;29/07/2013
1134;268,822;15/07/2013
716;596,499;15/07/2013
423;299,42;16/07/2013
434;219;27/07/2013
199;726;19/07/2013
1517;358;09/07/2013
716;449,505;29/07/2013
1171;197,88;29/07/2013
824;364,52;18/07/2013
1220;253,674;22/07/2013
739;399;16/07/2013
1213;1008,9;24/07/2013
1054;205,612;15/07/2013
1144;329,5;15/07/2013
1467;40;26/07/2013
462;250;24/07/2013
1467;33;26/07/2013
1213;276;10/07/2013
740;288,57;19/07/2013
1256;40;19/07/2013
1467;87,5;22/07/2013
410;257;23/07/2013
410;5559,38;23/07/2013
834;399,495;12/07/2013
