CLIENTE;VL_DEV;QT_DEV
1179;315,54;1
1652;42;1
2323;57,6;1
2466;626,19;3
2617;142,07;1
2771;32;1
3497;118,61;1
3581;475,38;1
3414;160;1
4298;223,2;1
4470;1494,18;1
4809;93;1
5960;102;1
4765;5059,2;1
4888;32;1
5534;130;1
6211;2112;1
6231;1652,4;1
6507;343,2;1
7225;1501,14;1
7672;247,5;1
8128;922,5;1
8207;451,65;1
8539;298,91;1
8820;127,2;1
9803;0;1
126;31622,63;22
210;921,8;8
213;12192,3;30
465;12580,04;7
427;1419,27;10
1852;972,1;6
1870;3029;5
483;258,68;2
541;627,28;5
1145;497,6;2
652;565,32;9
684;5028,43;24
645;2378,85;15
805;7382,05;10
1184;6327,1;26
2482;8407,94;16
1015;873,26;4
2556;38,36;1
1550;188,16;3
2900;442,8;2
2848;1836,22;9
1693;33968,47;10
2884;26637,28;5
2889;1115,6;4
2501;8252,53;20
2278;13569,54;8
2386;501,1;2
2775;6855,64;24
2388;10754,1;11
2269;1027,77;10
2618;2322,6;1
2629;824,97;5
3269;1351,64;9
3103;41,59;1
3331;437;3
3256;164,56;4
3345;102,78;1
3355;1225;1
3718;2651,2;5
3577;1078,21;6
3742;13200,22;1
3747;20804,75;5
6073;48591,85;5
4436;2720,98;2
6247;191,73;1
5947;746,3;8
5681;930,7;7
4229;25;2
4863;1404,22;4
6442;531,76;3
6897;5124,95;3
4540;1084,12;9
6773;2787,85;3
4882;5229,29;5
5828;26,94;2
4780;2142,58;3
4945;3273,33;7
5077;96,12;1
5826;11192,75;6
5216;21376,38;11
5857;161,06;1
6049;225;1
6527;224;1
6594;127,2;3
6867;8099,76;2
6827;11182,13;7
6823;1217,65;9
7850;236;2
9065;4494,23;6
9448;3078,72;2
23;53,56;1
239;216;1
414;28902,62;6
434;1884,6;20
448;1852;3
631;1209,85;7
751;1934,59;10
722;340;4
801;1045,6;3
1819;613,52;1
1201;226,17;1
1397;363,37;5
940;54,14;1
2730;660,94;3
1009;3142,64;2
1451;636,01;4
1427;3738,5;4
1976;5441,34;2
1845;1206;3
2636;648,4;5
2896;70,99;1
2083;7163,18;5
1406;1901,4;1
2724;95;1
2515;4281,76;4
2189;163,59;3
3965;1141;3
2310;825;1
2296;41,71;3
2873;499,05;4
3078;15,5;1
3319;222,2;6
3253;3179,25;5
3394;594,42;2
3854;92,8;2
5548;1631,06;2
4320;38,8;1
4923;44,97;1
5941;307;1
4620;40,17;1
4577;112;1
4740;557,6;4
4970;636,94;2
5943;1161,13;3
8018;2565,1;1
5315;1871,06;3
5476;346,88;1
6084;552,6;1
6056;207,6;2
6303;1485;2
6258;6300;1
6591;233,74;3
7530;461,97;3
7915;495,77;4
7638;5308,5;1
7787;2708,71;2
7930;70,47;1
8051;11587,95;5
7598;336,96;1
8972;2811,78;1
9101;810,9;3
815;914,98;2
1362;442;1
1903;12139,67;6
959;1219,5;2
895;173,81;2
2518;3929,7;1
1924;4362,74;2
1478;557,95;2
2101;5325,45;3
2591;17,57;1
2211;4609,05;2
2819;664,87;3
3038;4292,06;3
3210;765,25;6
2981;114;1
3205;525,2;1
3397;83;2
3514;177,6;2
3980;1149,53;4
3730;183,8;2
4971;232;1
4634;171;1
8291;225,56;1
4235;53,2;1
4231;63;1
4218;8249,88;3
4782;3085,38;8
4534;66,82;1
5935;2629,28;2
5008;422,28;4
4943;233,8;3
5000;6122,87;7
5428;7618,9;4
5059;1044,26;8
5367;2743,58;1
6581;256;1
6560;690;2
6766;160;1
6887;1299,6;1
6696;3495;1
7221;78;1
7133;578,6;1
7904;11090,36;2
7661;156,96;1
8631;197,7;1
8699;1048,32;1
9096;1226,23;2
1752;393,8;2
1177;8192,88;2
1345;837,81;2
2403;485,12;1
1764;125,89;1
1659;587,88;3
2015;42;1
1896;26154,81;2
2372;915,73;1
2602;2034,9;2
2680;106,72;1
2560;859,67;3
3794;416;1
4008;1512,21;1
3902;421,92;1
4191;854,25;1
4152;28,64;1
6459;326,09;3
4961;4017,96;6
6945;536,75;2
5562;173,64;2
4870;388,5;3
5119;72;1
5138;1476,26;3
4877;4650;1
5242;196;1
5467;23401,18;1
5996;1485,68;2
6893;14790,69;1
6663;54;1
7255;227,26;1
7296;1005;1
7844;60,48;1
8369;40,35;2
8964;2981,28;1
158;2103,99;1
281;38,19;1
270;520,42;3
649;240,85;4
1259;323,83;3
926;627,92;2
2686;7777,98;1
2494;620;2
2003;63;1
3604;327,7;2
3888;1460,32;1
3975;28;1
6636;135;1
4350;60;1
4246;258,02;3
4854;589;1
5025;328,3;2
5761;383,11;2
5344;198,78;1
5435;519,8;1
6914;10,72;1
6836;246,02;1
7088;1037,76;1
7087;710,52;1
7674;58;1
8325;10283,7;1
9677;1969,7;1
9537;240,1;2
195;230;1
327;504,33;2
651;652,42;2
787;4567,88;3
2721;910;1
1325;11613;1
1904;69,9;1
827;1224,4;1
2111;1500,03;1
1420;752,8;1
3278;1585,5;2
3230;69,8;1
4056;100,53;3
4250;1173,38;2
4735;520,41;3
4843;90,5;1
5568;2537,6;1
5370;198;1
6801;796,6;1
8668;39,38;1
8904;1120;2
194;200,43;1
544;669,6;2
643;59999,14;2
1208;176,14;3
775;152,9;1
2846;857,46;1
1762;598;1
1166;240,08;2
1931;410;1
2265;330;1
3281;4923,2;2
3651;129,9;1
4105;359,2;1
6499;810;1
4746;375,85;1
4591;1006,32;1
5747;33,84;1
6187;177,88;1
6895;1561,8;2
7406;2523,12;1
7581;510;1
9301;21,8;1
9704;133,42;2
583;24,4;1
1990;54,32;1
2768;12,95;1
2421;52;1
2332;380;1
2906;410,5;1
2595;46;1
3203;424;1
3145;35,36;1
5054;207;1
6115;33;1
6116;315;1
6880;52,75;1
6923;59;1
7206;1977;1
7883;8,28;1
8082;560;1
7693;171,4;1
8041;2624;1
9690;159,8;1
25;25671,26;34
29;10324,79;20
132;5105,16;4
387;1334,96;3
423;18247,41;23
437;7807,96;5
573;358;1
538;241,54;1
729;3987,24;13
739;10714,44;14
1213;3627,19;14
1215;318,27;1
765;3458,63;9
1197;1658,4;1
1379;24601,4;10
927;493,21;5
1941;1195,48;7
1176;1160,33;2
1238;52;2
883;19882,07;6
1577;2407,56;1
2088;1192,38;1
1962;6715,23;17
1481;836,6;6
2085;4449,38;9
2110;13,32;1
2919;360,75;2
2349;323,23;5
2241;39,39;1
2317;3136,58;6
2468;978,32;1
2343;2288;1
2169;1770,94;7
2193;506,8;1
2322;19380,47;6
2574;262;2
3945;992;1
2675;5528,99;2
2562;11118,39;6
2594;1365,55;5
3406;79,87;2
3321;46;1
3476;2032,2;2
3645;16193,93;12
3557;838;1
3597;6450,3;5
3750;853,5;1
3924;421,04;4
4300;25,2;1
5440;6977,22;3
4628;824,08;7
5531;47,7;1
4268;7669,35;10
4163;1406,51;13
4216;237,37;3
4417;56,9;1
4276;884,43;4
5812;1862,76;5
4594;9855;6
7196;1069,2;1
5989;2897,76;3
4556;597,97;4
8163;2034;1
5034;25992,25;3
4955;32,04;1
5075;198;1
5072;5917,5;11
5091;138;1
4860;40,04;1
5267;21911,57;4
5978;328,3;2
5686;435;2
5764;324,06;3
6433;423,65;8
6050;172072;14
6554;469,5;1
6829;26765,72;6
6860;4632;1
6957;729,56;1
6972;1349,12;2
7302;241,87;3
7542;583,4;3
7855;1217,82;4
7920;371;1
8127;742,56;1
8129;465;1
8351;277,5;1
9258;496,68;2
9814;132;1
8;343,42;5
50;2928,17;7
17;550,32;3
120;5729,18;4
1253;381,83;3
2448;5129,7;11
2703;233,68;2
2701;2608,34;4
1236;3754,57;4
908;906,36;5
1443;30,97;1
1456;11160,96;3
1528;140,1;2
1630;37,88;1
1878;520;4
1885;444;1
2050;39,73;2
4019;4036,3;11
2851;404,88;1
2598;391,18;4
3159;1635,57;3
3236;248,38;4
3811;7062,1;6
4135;2096,84;6
3940;39;1
4398;138,22;1
4248;720;1
7229;18710,04;1
5739;169,4;1
4966;375,8;2
5434;746,25;1
5012;180;1
5574;217,16;1
5750;13,8;1
6390;1263,66;3
6138;1133;3
6448;1220,8;2
6281;3300,86;6
6524;1066;1
6251;169,8;2
7046;260;1
7527;850;2
7363;3858,22;5
7485;1840,01;4
7681;1022,2;3
8076;575,3;3
7864;2303,6;5
8579;390;1
8602;2240;2
9036;106,38;1
9363;68,7;1
9427;1554,1;2
9616;55;1
96;652,96;1
81;2250,63;4
593;2719,32;5
597;897;1
1198;101,7;1
791;37,7;2
2447;105,81;1
2698;473,11;1
1561;1358,5;1
1650;410,5;1
1656;244,02;3
1423;3318,8;1
2140;2278,14;1
2364;3743,72;3
2215;1505,18;4
2304;4800,23;2
2298;26667,47;3
2611;158,2;1
2648;842,5;1
2659;1975,83;1
3228;25,5;1
3224;3431,4;1
3235;357,17;5
3529;2434,07;4
3664;43,7;2
3496;225;1
4361;249,26;3
4185;1300;2
4624;75;1
4211;4592,6;5
5715;1363,05;4
5513;222,16;2
4676;264,84;4
4545;171,7;5
5129;90;1
4874;322,9;1
6576;2159,74;2
5002;268,5;1
5506;1188,36;5
5535;19263,78;3
6353;110;1
6082;56,7;1
6362;48,9;1
6102;771,94;1
6549;111,1;1
8367;486,94;1
6605;644;2
6846;12380,44;4
7055;18429;1
9398;804;1
8108;43,83;1
8110;247,5;1
7851;611;1
8364;3595,72;4
9205;173,58;1
9436;3,31;1
177;459;4
617;108,56;1
601;130,9;1
732;31,25;1
715;384;1
725;1172,9;3
1971;102,09;2
842;95,31;1
1604;28,05;1
1486;1142,54;6
2823;118,71;1
2508;88,94;1
2218;125;1
3081;84,35;1
3286;5371,8;2
2987;17,8;1
3416;202,2;1
3600;339,94;2
4108;549;2
4119;32;1
3926;1543,2;2
5705;1998,02;3
4486;5535;1
5903;1527,86;3
4609;561;2
4687;2055,12;3
5493;211,28;1
5366;172,66;1
7801;175,67;1
7350;271,83;1
7917;715,6;1
8045;2746,4;5
7810;457,32;1
8371;834,72;1
8187;2686,38;4
8261;2045;2
8283;10880,92;3
9110;516,5;2
9336;78,09;1
190;2632;4
338;9441,3;1
1156;4067,8;3
2726;35,9;1
4133;207,3;1
1942;86,57;1
2444;620,56;2
2053;976,09;1
2417;9453,78;1
2596;59,97;2
3259;36;1
3020;12;1
3532;5030,9;2
3784;28,9;1
5680;59,5;1
4565;20,7;1
4528;48,63;1
7667;18882,36;2
8425;123,2;1
5426;5530,5;4
6163;474;1
7266;707,34;1
7459;43;1
8335;32260,8;1
8507;252,87;1
9473;291,7;1
1782;305,8;1
1207;3795,76;1
854;235,32;1
1918;214,52;1
2394;2135,61;1
1765;15314,09;1
1409;352;1
2212;425,7;2
2628;76;1
2959;83,4;1
3102;5022,45;1
3735;19089,63;1
4408;38;1
4488;16,98;1
4403;105,71;1
5389;266;1
5716;926,7;2
4838;99,91;2
5825;217,27;2
4936;909,57;1
4980;474,3;1
5146;2405,3;1
5541;72;1
5246;305,64;1
6176;1028,25;1
7165;41,3;1
7157;1194;2
8071;87,4;1
8074;155519,07;2
422;2244;1
488;3669,76;2
693;153,78;1
1320;273,19;1
1292;162,14;1
1658;257,84;2
1551;46,28;2
2881;1697,13;1
2113;475,92;2
3013;19,68;1
3048;407;1
3148;490;1
3523;130,36;1
4750;560;2
6949;650,04;1
4519;122,5;1
5858;22,5;1
5643;33;1
5343;34,29;1
5540;295,75;1
7733;89,67;1
8304;220;1
6054;60,3;1
6599;296,4;1
7340;19;1
7491;442,2;1
7768;1025,31;1
8735;80,92;2
8474;1650,09;1
8778;439,43;1
9356;556,3;1
9790;8262,72;1
630;324,24;1
1465;11,12;1
1578;8,03;1
2144;42,8;1
2880;167,3;1
3231;305,9;1
3444;1100;1
3429;348;1
3869;365,4;1
5833;105,34;1
4814;93,15;1
5558;134,95;1
8387;11,68;1
6278;428;1
7123;1608;1
8782;203,84;1
7953;931,59;1
7991;1917,76;1
7644;67;2
9188;654,64;1
5;2337,48;11
105;96943,46;18
123;67984,99;15
364;8054,18;4
410;86086,64;49
454;1677,7;8
679;2190,62;11
701;908,75;4
642;317845,21;18
802;11878,81;11
1119;2139,9;9
1190;1442,41;3
968;11269,6;12
1986;0;1
1548;31,64;1
1951;175,53;1
1795;505,2;1
1400;23456,13;15
2052;1457,62;8
2443;7,5;1
1628;6761,43;9
1543;5,21;1
2106;81690,93;18
2199;8547,89;5
2911;1026,56;7
2818;9734,16;4
2549;126,8;1
3371;3332,37;9
3003;1333,53;6
3400;368,3;4
3403;144;2
3184;7268,88;14
3758;1079,02;3
3571;4263,05;11
3724;1208,9;1
3527;787,8;6
3582;740;2
3616;1322,39;6
3936;2268,17;5
4102;150;1
3885;93,65;2
4404;393,37;3
7370;156278,53;3
5097;23507,41;9
4450;3473,2;3
4303;240;1
4463;1101,91;2
4401;111,6;2
4679;1954,53;10
7426;40388,8;12
5351;5419,76;1
4686;863,5;4
4522;1405,64;6
5048;1047,6;5
4846;66997,1;4
5742;34,4;3
5969;486,01;4
4779;62,9;1
5153;82;1
4859;121;1
4818;4171,72;7
5018;854,74;5
4826;2867,2;1
5225;2501,1;2
5480;3626,22;2
5240;578,85;5
5702;2280,01;5
6338;300,02;1
5712;356,75;8
5723;450;1
6125;1490,7;5
6729;6837,88;7
6743;1271,19;2
6671;1032,71;2
6956;1290,74;6
7472;213,3;1
7349;108,75;1
7766;79,6;1
8353;157,74;1
8147;4013,18;2
8528;20;1
8656;22241,24;4
9029;62,64;1
9299;6364,48;2
9376;124,64;1
9642;58,9;1
172;96,14;2
122;2485,92;4
240;126,99;3
187;39679,45;5
331;2332,64;10
380;2967,38;4
444;1100,67;6
1110;482,1;2
685;420,73;1
666;1648,33;9
670;51,26;1
747;251,5;3
931;651,91;2
8462;399,5;1
923;938,06;4
957;21612,22;13
1181;36,13;1
1054;1540,44;7
1461;255;1
1452;285,55;2
2751;585,5;2
2454;16459,8;3
2824;667,29;2
1692;10463,28;5
2020;381,94;1
1798;868,39;3
3214;2577,32;8
3015;4027,81;4
3119;861,55;4
3488;1775,3;1
3463;1446,8;3
3574;5777,44;1
3670;64,64;1
3417;491,8;6
4928;897,98;3
5745;206,42;1
4832;7643,06;2
4833;649,5;2
4800;645,5;3
5078;954,88;1
5081;830,4;1
4982;940,86;1
5238;4470,1;5
5281;1331,03;2
5180;55701,75;21
6352;6118,49;6
6437;80,39;1
6432;18337,73;4
6179;130;2
6071;29139,48;7
6912;457,27;4
7492;540;1
7160;3537,84;6
7392;322,8;2
7856;57,5;1
8366;772,6;2
8056;995,78;2
8131;328,54;2
8898;2815,64;3
9807;256;1
99;180,19;1
230;41,13;1
193;880,71;4
1286;668,4;1
1853;54913,57;4
1134;915,74;3
1033;1796,21;9
857;146,39;2
936;5262,58;7
953;3571,9;6
2954;104,9;1
2467;1160,27;3
3089;17;1
3360;20;1
3139;4762,79;2
3142;1070,7;3
3485;277,57;4
6987;7744;1
4637;142,72;2
4901;127,28;2
4932;2194,4;4
4419;570;6
7228;1128,96;1
8408;428,8;2
4521;1324,07;3
5693;2693,29;7
5934;4020,81;3
5527;15,57;1
6207;424,22;2
6685;71,72;1
8067;927,1;2
7591;146,74;1
8633;5042,45;1
8988;159,1;1
9202;142,5;1
9445;165;1
9571;1168;1
57;1145;1
226;17677,6;3
513;75;1
1281;678,42;2
1498;537,46;2
1516;2475,14;3
2398;42;1
2246;223,34;1
2224;877,66;1
3376;441,31;1
3383;386,36;1
3677;1023,91;6
3693;167;2
3518;30;1
3559;244;1
3864;1461,19;3
4606;134,46;1
4483;638,8;2
6308;230,4;1
4571;1482,76;4
4587;551,52;2
5052;964,44;1
5865;347,08;2
5945;565,95;3
5430;1197,82;4
5160;396;1
4861;78,6;2
6512;1297,56;2
5672;2248,67;3
6598;57,9;1
6772;9373,69;3
6930;1214,01;4
8253;113,35;1
8266;453,6;1
9212;1214,14;2
8872;175,84;1
9074;905;2
9593;56,8;2
9941;131,61;1
1154;71,04;1
786;141;1
1374;40,58;1
2940;218;1
1537;81,9;2
2455;2872,8;1
1611;80;1
2706;66;1
3122;766,5;1
3147;397,43;3
3140;282;1
3850;0;1
3662;220,46;2
3618;567,51;1
4072;213,16;3
3941;141,71;1
4263;25;1
4169;418,25;4
4239;3933,18;1
5305;844,52;1
4862;24,82;1
5942;2337;1
4669;110,17;1
5751;24318;1
6093;3105,73;4
6977;2500;1
7554;219,6;2
7833;66,56;1
8821;49,8;1
9254;2545,25;1
9441;250,9;2
9893;439,92;1
119;105,15;1
301;489,3;1
1757;210,41;1
1271;487,5;1
1000;2970;1
2125;3270;1
2461;343,88;1
2301;92,26;1
2347;11089,44;1
2754;8004,1;1
3572;164,11;1
3777;615,67;2
3694;1123,1;2
4495;263,01;1
5287;470;1
7871;4732,07;1
5319;629,2;2
5789;360,45;1
4954;1312,8;3
5014;2735,2;1
7204;85,12;1
6213;41,21;1
6443;8570,68;1
6775;477,25;1
9930;216;1
500;7948;1
848;48,9;1
1567;988;1
1413;694,17;1
2664;153,6;1
1938;1215;1
2242;348,94;2
2563;444,1;1
2971;53;1
3398;118,3;1
3744;768,48;1
3719;3094,38;1
3725;291;1
3958;64,8;1
6000;252;1
5411;27,79;1
6788;211,43;1
7595;10125;1
243;5591;1
779;19,99;1
2126;444,5;1
2445;3521,6;2
2714;21,01;1
3369;30;1
5808;212,62;2
4563;245,73;1
4743;682,1;1
5115;72,47;1
8443;1014,92;1
6132;239;1
7038;1493;1
8176;317;1
8405;0;1
8847;2500;1
9652;42;1
9706;326,14;1
