CLIENTE;VL_DEV;QT_DEV
3835;4948,28;8
3418;1512,47;8
3635;4217,86;6
3673;1456,8;4
3562;2720,79;17
3875;318;2
4117;13,8;2
3602;844,04;3
3531;452,04;7
4124;512,47;7
3937;831,39;1
4005;5477,8;9
4262;108889,1;16
4614;1535,7;6
4458;3320,77;6
5015;389,25;3
4244;314;1
4626;385;5
5722;187,1;2
4273;47,2;1
4906;122255,64;9
4559;150;1
5159;4984,28;7
4768;471,29;2
4796;44,16;2
4539;2250,76;16
6447;706;1
5889;1399,45;1
4551;331,35;1
4710;13605,62;12
5142;561,56;1
4973;124,05;2
4988;2486,86;7
5022;1069,5;4
5663;3508,27;12
5234;1817,97;7
5740;4470,81;12
5950;176,48;3
6693;2265,37;12
5252;1139,2;3
5885;1880,3;7
5673;194,93;6
6337;12304,3;3
6326;3615,36;12
6753;925,61;4
6657;33232,31;6
6927;4395,77;6
6718;6302,52;1
7097;17938,24;1
7276;265;2
7407;8613,87;15
7112;31558,82;3
8064;79,43;1
7658;157;2
8043;5502,6;1
7594;456;1
8080;2023,75;5
8393;1084,81;4
8732;2572,04;3
8625;13400,4;4
8584;70;1
8741;3840,43;1
9268;1721,12;2
9094;2856,52;3
9381;67,25;1
405;25701,16;2
9591;2664,55;1
9587;9,9;1
351;873,48;3
356;4774,83;4
1880;2536,27;5
1586;179,8;1
2407;1822,93;6
2951;387,4;2
1169;78,78;1
1462;4689,71;10
2499;10356,15;1
2735;370;3
1491;6098,65;5
2208;1241,51;2
2316;183,9;2
2584;711,6;1
3922;40000,68;5
2767;59,4;1
2570;128,4;2
3077;93,13;4
3042;13788,7;1
3272;301,34;2
3774;49;1
3432;1668,85;2
4051;678,32;2
3520;17;1
6369;3000;1
4293;25;1
4561;975;2
6001;2123,27;2
5797;977,52;1
4759;485,38;2
4836;598,4;4
5149;63,8;1
5113;537,51;1
5874;503,12;2
5395;5670,9;2
6126;252;1
6712;3587,46;4
6939;101,4;1
6898;707,52;1
7387;17446,56;3
7262;758;1
7187;33,92;1
7788;6489,14;4
8358;2323,23;2
8259;77,4;1
8309;843,06;3
8222;1425;1
8301;65;1
8494;3705,56;6
9610;99;1
9484;366;1
21;726,75;4
66;146,3;1
156;5420,13;12
1844;33,54;2
2953;180,75;1
1815;185,63;1
1453;2166,97;3
1827;133,03;2
1653;84,42;1
2651;1007,93;4
2585;12,64;1
2826;1645,62;1
2645;39;1
3083;88;1
3112;966,6;2
3385;3807;1
3354;236,18;2
3035;524,72;1
3016;716,08;1
3407;2287,4;2
3657;164;1
3629;7,5;1
4100;1290,15;4
4508;110;1
5793;1957;1
5632;5215;2
5166;195,5;1
4893;45972,11;7
