CODCLI,dcadastro_dias,d1,d2,d3,dmedia,ddesvio,r,f,v,Y,clr,clf,clv,rfv,cluster
1132,3030,49,63,21,44.333333333333336,21.385353243127252,2823,7,2256.89,NA,0,2,1,3,baixo valor
1133,2029,156,170,234,186.66666666666666,41.58525379666852,327,128,299437.91,NA,3,1,2,6,médio valor
1134,3920,14,7,13,11.333333333333334,3.7859388972001824,2,115,39929.26,NA,3,1,1,5,médio valor
1138,3921,937,175,15,375.6666666666667,492.6675687858227,547,87,69607.6,NA,3,1,1,5,médio valor
1144,3922,22,20,23,21.666666666666668,1.5275252316519468,14,305,157487.68,NA,3,3,2,8,alto valor
1145,3915,1,9,19,9.666666666666666,9.018499505645789,2162,151,85495.3,NA,2,1,1,4,baixo valor
1147,3884,70,179,85,111.33333333333333,59.07904309764448,919,115,151816.29,NA,1,1,2,4,baixo valor
1151,3907,463,29,39,177,247.73372802264936,2401,27,29692.06,NA,2,2,1,5,médio valor
1152,3878,21,105,55,60.333333333333336,42.2532050066422,2830,15,9800.86,NA,0,2,1,3,baixo valor
1153,3920,54,48,134,78.66666666666667,48.01388688008224,3117,11,3090.89,NA,0,2,1,3,baixo valor
1154,3841,442,361,193,332,127.00787377166819,2842,5,2272.93,NA,0,2,1,3,baixo valor
1155,3913,104,57,56,72.33333333333333,27.42869543622761,2750,31,5354.36,NA,0,2,1,3,baixo valor
1156,3921,132,14,7,51,70.2353187506115,3411,49,19533.2,NA,0,2,1,3,baixo valor
1161,3921,21,27,36,28,7.54983443527075,3571,25,10363.289999999999,NA,0,2,1,3,baixo valor
1163,3925,15,6,13,11.333333333333334,4.725815626252608,2366,146,59935.43,NA,2,1,1,4,baixo valor
1164,3841,7,10,10,9,1.7320508075688772,3554,31,5125.4,NA,0,2,1,3,baixo valor
1166,3920,28,46,63,45.666666666666664,17.502380790433435,3053,34,9703.11,NA,0,2,1,3,baixo valor
1167,3913,7,7,6,6.666666666666667,0.5773502691896257,0,445,174154.28,7,3,0,2,5,médio valor
1169,3920,7,55,99,53.666666666666664,46.01449047129973,2536,57,13117.34,NA,2,1,1,4,baixo valor
1171,3915,22,14,5,13.666666666666666,8.504900548115382,7,168,60601.27,26,3,1,1,5,médio valor
1172,3920,272,7,45,108,143.29340529138108,2527,79,27073.03,NA,2,1,1,4,baixo valor
1174,3901,35,35,98,56,36.373066958946424,2620,58,29892.04,NA,0,1,1,2,baixo valor
1176,3920,113,89,17,73,49.95998398718719,3108,49,45658.95,NA,0,2,1,3,baixo valor
1177,3913,967,154,350,490.3333333333333,424.2786034356827,637,33,20828.63,NA,1,2,1,4,baixo valor
1178,3921,7,7,7,7,0,3795,20,5944.37,NA,0,2,1,3,baixo valor
1179,3908,20,434,92,182,221.18770309400114,36,82,31030.57,NA,3,1,1,5,médio valor
1180,3920,21,15,20,18.666666666666668,3.2145502536643185,3431,40,14773.06,NA,0,2,1,3,baixo valor
1181,3907,281,20,105,135.33333333333334,133.11774236867652,505,107,113532.53,NA,3,1,2,6,médio valor
1182,3887,70,63,63,65.33333333333333,4.041451884327381,2669,33,10390.41,NA,0,2,1,3,baixo valor
1183,3922,14,7,35,18.666666666666668,14.571661996262929,3481,36,7661.36,NA,0,2,1,3,baixo valor
1184,3915,27,2,5,11.333333333333334,13.650396819628847,252,657,498476.23,NA,3,0,0,3,baixo valor
1185,3926,19,15,7,13.666666666666666,6.110100926607787,2765,78,25155.43,NA,0,1,1,2,baixo valor
1187,3829,189,6,105,100,91.60240171523888,3465,5,3539.85,NA,0,2,1,3,baixo valor
1188,3920,82,23,13,39.333333333333336,37.28717384481336,3506,15,7759.2,NA,0,2,1,3,baixo valor
1189,3885,14,21,13,16,4.358898943540674,3640,11,3436.75,NA,0,2,1,3,baixo valor
1190,3912,14,28,28,23.333333333333332,8.082903768654761,3331,26,7811.92,NA,0,2,1,3,baixo valor
1191,3925,10,24,1,11.666666666666666,11.590225767142474,2704,84,14878.789999999999,NA,0,1,1,2,baixo valor
1193,3922,36,14,76,42,31.432467291003423,2213,213,55048.64,NA,2,3,1,6,médio valor
1194,3912,42,29,14,28.333333333333332,14.011899704655802,3555,16,3842.94,NA,0,2,1,3,baixo valor
1195,3920,14,42,14,23.333333333333332,16.165807537309522,3767,8,2038.61,NA,0,2,1,3,baixo valor
1196,3893,117,119,21,85.66666666666667,56.01190349678659,506,56,28143.84,NA,3,1,1,5,médio valor
1197,3851,238,42,63,114.33333333333333,107.61195720426859,3473,5,987.73,NA,0,2,1,3,baixo valor
1198,3915,31,14,14,19.666666666666668,9.814954576223638,3505,25,5339.89,NA,0,2,1,3,baixo valor
1200,3913,14,14,14,14,0,3669,14,9705.07,NA,0,2,1,3,baixo valor
1201,3893,63,853,42,319.3333333333333,462.2881496786753,2263,23,5390.34,NA,2,2,1,5,médio valor
1202,3911,161,29,13,67.66666666666667,81.22397018942951,3527,7,2343.46,NA,0,2,1,3,baixo valor
1204,3880,114,40,367,173.66666666666666,171.47108599799947,3359,4,861.41,NA,0,2,1,3,baixo valor
1205,3919,22,20,28,23.333333333333332,4.163331998932265,3849,4,1185.66,NA,0,2,1,3,baixo valor
1206,3922,18,16,155,63,79.68061244744545,3733,4,1098.87,NA,0,2,1,3,baixo valor
1207,3908,57,21,23,33.666666666666664,20.231987873991358,1805,126,30886.82,NA,2,1,1,4,baixo valor
1208,3926,8,7,14,9.666666666666666,3.7859388972001824,1128,220,81635.51,NA,1,3,1,5,médio valor
1211,3914,14,42,56,37.333333333333336,21.385353243127252,3445,22,14483.34,NA,0,2,1,3,baixo valor
1212,3915,34,6,51,30.333333333333332,22.72296928953902,2193,16,5627.99,NA,2,2,1,5,médio valor
1213,3922,9,7,12,9.333333333333334,2.516611478423583,12,390,209854.3,17,3,3,2,8,alto valor
1215,3642,1,7,7,5,3.4641016151377544,0,32,23139.43,2,3,2,1,6,médio valor
1216,3925,33,14,37,28,12.288205727444508,3438,34,12714,NA,0,2,1,3,baixo valor
1217,3894,66,46,134,82,46.130250378683186,3611,5,4463.98,NA,0,2,1,3,baixo valor
1218,3911,64,6,38,36,29.0516780926679,3701,8,2622.05,NA,0,2,1,3,baixo valor
1219,3926,15,1654,19,562.6666666666666,945.1245067890967,663,164,94035.75,NA,1,1,1,3,baixo valor
1220,3922,6,6,29,13.666666666666666,13.279056191361393,0,593,318029.23,2,3,0,2,5,médio valor
