CODCLI,dcadastro_dias,d1,d2,d3,dmedia,ddesvio,r,f,v,ultcompjanela,clr,clf,clv,rfv,cluster
437,3694,2,5,14,7,6.244997998398398,5,55,230021.45,2024-01-26,3,2,2,7,high value costumers
438,3880,42,13,62,39,24.63736998950984,23,96,104191.73,2024-01-08,3,1,2,6,mid value costumers
442,3704,36,39,44,39.6666666666667,4.041451884327381,2604,45,54456.8,2016-12-14,0,2,1,3,low value costumers
444,3922,2,6,8,5.33333333333333,3.0550504633038935,2954,106,30240.81,2015-12-30,0,1,1,2,low value costumers
446,3884,183,351,293,275.666666666667,85.33072912692903,2386,22,10380.539999999999,2017-07-20,2,2,1,5,mid value costumers
448,3920,9,7,11,9,2,2184,319,272194.47,2018-02-07,2,3,2,7,high value costumers
450,2557,526,360,161,349,182.74846100583173,1510,4,752,2019-12-13,2,2,1,5,mid value costumers
454,3261,6,1,7,4.66666666666667,3.2145502536643185,1847,308,392705,2019-01-10,2,3,2,7,high value costumers
459,3911,15,55,205,91.6666666666667,100.16652800877813,5,93,20163.75,2024-01-26,3,1,1,5,mid value costumers
461,3905,75,37,80,64,23.515952032609693,3502,6,1045.3,2014-06-30,0,2,1,3,low value costumers
462,3911,18,14,75,35.6666666666667,34.122328955294556,45,89,73992.99,2023-12-17,3,1,1,5,mid value costumers
463,3702,144,2032,566,914,990.9409669601919,29,22,7586.59,2024-01-02,3,2,1,6,mid value costumers
465,3925,6,13,2,7,5.5677643628300215,1948,263,161179.46,2018-10-01,2,3,2,7,high value costumers
468,3862,27,711,24,254,395.7764520534288,3100,4,1047.5,2015-08-06,0,2,1,3,low value costumers
474,2970,37,42,44,41,3.605551275463989,2147,15,7186.78,2018-03-16,2,2,1,5,mid value costumers
479,3859,78,8,35,40.3333333333333,35.303446479534166,503,104,86453.87,2022-09-15,3,1,1,5,mid value costumers
482,2009,11,1,20,10.6666666666667,9.504384952922168,1,252,332407.68,2024-01-30,3,3,2,8,high value costumers
483,3922,31,21,24,25.3333333333333,5.131601439446884,3093,45,16489.42,2015-08-13,0,2,1,3,low value costumers
486,2806,174,93,78,115,51.64300533470143,2008,9,2298.62,2018-08-02,2,2,1,5,mid value costumers
488,3921,6,7,1,4.66666666666667,3.2145502536643185,2598,83,84210.08,2016-12-20,0,1,1,2,low value costumers
490,1875,6,27,58,30.3333333333333,26.159765544311238,15,30,10256,2024-01-16,3,2,1,6,mid value costumers
497,3752,13,8,13,11.3333333333333,2.886751345948129,2,39,19465.01,2024-01-29,3,2,1,6,mid value costumers
500,3666,260,14,92,122,125.71396103854178,3297,5,8667.3,2015-01-21,0,2,1,3,low value costumers
502,3418,278,84,26,129.333333333333,131.9747450587927,2767,12,56968,2016-07-04,0,2,1,3,low value costumers
503,3918,13,58,23,31.3333333333333,23.629078131263043,2659,31,368609.97,2016-10-20,0,2,2,4,low value costumers
507,3921,11,2,12,8.33333333333333,5.507570547286102,3187,169,44523.56,2015-05-11,0,1,1,2,low value costumers
509,3267,1010,137,72,406.333333333333,523.799898179957,1932,5,5010.57,2018-10-17,2,2,1,5,mid value costumers
512,2753,6,288,133,142.333333333333,141.2314884625002,1716,99,35394.58,2019-05-21,2,1,1,4,low value costumers
513,3757,94,1,13,36,50.586559479766954,3483,9,885.08,2014-07-19,0,2,1,3,low value costumers
514,2855,16,4,8,9.33333333333333,6.110100926607787,2827,4,6838,2016-05-05,0,2,1,3,low value costumers
520,3894,1,20,34,18.3333333333333,16.563010998406458,2192,35,24754.43,2018-01-30,2,2,1,5,mid value costumers
521,3914,16,5,1,7.33333333333333,7.767453465154029,3184,32,27632.34,2015-05-14,0,2,1,3,low value costumers
527,3855,7,4,10,7,3,2248,21,23222.49,2017-12-05,2,2,1,5,mid value costumers
