CODCLI,dcadastro_dias,d1,d2,d3,dmedia,ddesvio,r,f,v,ultcompjanela,clr,clf,clv,rfv,cluster
1202,3911,161,29,13,67.6666666666667,81.22397018942951,3527,7,2343.46,2014-06-05,0,2,1,3,low value costumers
1204,3880,114,40,367,173.666666666667,171.47108599799947,3359,4,861.41,2014-11-20,0,2,1,3,low value costumers
1205,3919,22,20,28,23.3333333333333,4.163331998932265,3849,4,1185.66,2013-07-18,0,2,1,3,low value costumers
1206,3922,18,16,155,63,79.68061244744545,3733,4,1098.87,2013-11-11,0,2,1,3,low value costumers
1207,3908,57,21,23,33.6666666666667,20.231987873991358,1805,126,30886.82,2019-02-21,2,1,1,4,low value costumers
1208,3926,8,7,14,9.66666666666667,3.7859388972001824,1128,220,81635.51,2020-12-29,1,3,1,5,mid value costumers
1211,3914,14,42,56,37.3333333333333,21.385353243127252,3445,22,14483.34,2014-08-26,0,2,1,3,low value costumers
1212,3915,34,6,51,30.3333333333333,22.72296928953902,2193,16,5627.99,2018-01-29,2,2,1,5,mid value costumers
1213,3922,9,7,12,9.33333333333333,2.516611478423583,12,390,209854.3,2024-01-19,3,3,2,8,high value costumers
1215,3642,1,7,7,5,3.4641016151377544,0,32,23139.43,2024-01-31,3,2,1,6,mid value costumers
1216,3925,33,14,37,28,12.288205727444508,3438,34,12714,2014-09-02,0,2,1,3,low value costumers
1217,3894,66,46,134,82,46.130250378683186,3611,5,4463.98,2014-03-13,0,2,1,3,low value costumers
1218,3911,64,6,38,36,29.0516780926679,3701,8,2622.05,2013-12-13,0,2,1,3,low value costumers
1219,3926,15,1654,19,562.666666666667,945.1245067890967,663,164,94035.75,2022-04-08,1,1,1,3,low value costumers
1220,3922,6,6,29,13.6666666666667,13.279056191361393,0,593,318029.23,2024-01-31,3,0,2,5,mid value costumers
1222,3885,21,22,18,20.3333333333333,2.0816659994661326,2381,48,11767.28,2017-07-25,2,2,1,5,mid value costumers
1223,3879,14,14,14,14,0,3431,11,2377.44,2014-09-09,0,2,1,3,low value costumers
1225,3919,7,7,11,8.33333333333333,2.309401076758503,2396,123,37899.72,2017-07-10,2,1,1,4,low value costumers
1226,3912,23,27,2016,688.666666666667,1149.506125835497,0,94,83003.62,2024-01-31,3,1,1,5,mid value costumers
1227,3864,224,42,14,93.3333333333333,114.02338941345909,3389,8,1644.72,2014-10-21,0,2,1,3,low value costumers
1228,3922,14,7,7,9.33333333333333,4.041451884327381,405,149,68348.54,2022-12-22,3,1,1,5,mid value costumers
1231,3925,54,5,159,72.6666666666667,78.67867140040771,3707,4,562.12,2013-12-07,0,2,1,3,low value costumers
1232,3924,215,74,2,97,108.34666584625482,3633,4,1373.37,2014-02-19,0,2,1,3,low value costumers
1233,3920,27,11,25,21,8.717797887081348,9,304,105351.27,2024-01-22,3,3,2,8,high value costumers
1234,3913,7,20,15,14,6.557438524302,3306,50,20236.53,2015-01-12,0,2,1,3,low value costumers
1236,3922,48,14,5,22.3333333333333,22.678918257565403,8,105,49160.3,2024-01-23,3,1,1,5,mid value costumers
1237,3920,111,1,6,39.3333333333333,62.11548384528075,3585,44,17610.329999999998,2014-04-08,0,2,1,3,low value costumers
1238,3921,24,11,107,47.3333333333333,52.080066564217574,3295,120,17149.56,2015-01-23,0,1,1,2,low value costumers
1240,3922,28,14,28,23.3333333333333,8.082903768654761,3824,5,855.52,2013-08-12,0,2,1,3,low value costumers
1241,3920,1928,39,35,667.333333333333,1091.7711909247896,972,30,7949.7,2021-06-03,1,2,1,4,low value costumers
1242,3920,28,36,12,25.3333333333333,12.220201853215574,3830,5,838.71,2013-08-06,0,2,1,3,low value costumers
1243,3549,111,456,8,191.666666666667,234.64086032345972,2478,15,4248.83,2017-04-19,2,2,1,5,mid value costumers
1244,1031,31,7,14,17.3333333333333,12.342339054382412,475,71,40223.52,2022-10-13,3,1,1,5,mid value costumers
1245,3877,42,100,22,54.6666666666667,40.513372277969324,3303,24,5433.01,2015-01-15,0,2,1,3,low value costumers
1246,3030,97,4,265,122,132.28378585450298,2617,5,1026.8600000000001,2016-12-01,0,2,1,3,low value costumers
1248,3746,421,236,384,347,97.89279850938985,1701,7,9678.5,2019-06-05,2,2,1,5,mid value costumers
1251,3921,42,16,19,25.6666666666667,14.224392195567912,3234,10,3522.45,2015-03-25,0,2,1,3,low value costumers
1253,3907,223,114,112,149.666666666667,63.51640208114227,15,36,17561.96,2024-01-16,3,2,1,6,mid value costumers
1254,3732,1,5,1,2.33333333333333,2.309401076758503,769,277,144719.13,2021-12-23,1,3,2,6,mid value costumers
1255,3920,42,35,30,35.6666666666667,6.027713773341708,3625,11,4069.7,2014-02-27,0,2,1,3,low value costumers
1256,3920,21,39,23,27.6666666666667,9.865765724632494,2,221,63630.31,2024-01-29,3,3,1,7,high value costumers
1257,3921,43,71,29,47.6666666666667,21.385353243127252,3751,6,4507.85,2013-10-24,0,2,1,3,low value costumers
1258,3921,20,27,30,25.6666666666667,5.131601439446884,3516,21,5771.84,2014-06-16,0,2,1,3,low value costumers
1259,3915,30,365,14,136.333333333333,198.19266720374227,1224,89,27535.08,2020-09-24,1,1,1,3,low value costumers
1260,3921,73,40,9,40.6666666666667,32.00520790954705,3701,12,2889.16,2013-12-13,0,2,1,3,low value costumers
1263,3843,28,63,42,44.3333333333333,17.61628034896508,3109,5,1495.09,2015-07-28,0,2,1,3,low value costumers
1264,3915,30,11,1,14,14.730919862656235,3568,15,475.75,2014-04-25,0,2,1,3,low value costumers
1266,3915,7,18,136,53.6666666666667,71.51456728061306,163,293,164062.95,2023-08-21,3,3,2,8,high value costumers
1269,3920,15,9,41,21.6666666666667,17.009801096230763,3855,4,3201.02,2013-07-12,0,2,1,3,low value costumers
1271,3920,55,106,97,86,27.2213151776324,2886,11,2483.17,2016-03-07,0,2,1,3,low value costumers
1273,3704,574,28,27,209.666666666667,315.5223182808679,2345,13,5131.07,2017-08-30,2,2,1,5,mid value costumers
1279,3892,50,21,189,86.6666666666667,89.80163324424191,2661,23,20966.27,2016-10-18,0,2,1,3,low value costumers
1281,3920,26,6,1,11,13.228756555322953,14,75,42152.34,2024-01-17,3,1,1,5,mid value costumers
1284,3919,35,35,151,73.6666666666667,66.97263122599658,2697,17,7163,2016-09-12,0,2,1,3,low value costumers
1285,3920,99,16,28,47.6666666666667,44.85903847981289,573,165,49460.26,2022-07-07,1,1,1,3,low value costumers
1287,3920,7,7,10,8,1.7320508075688772,3896,4,741.02,2013-06-01,0,2,1,3,low value costumers
1297,3899,36,20,15,23.6666666666667,10.969655114602888,3681,9,1678.6499999999999,2014-01-02,0,2,1,3,low value costumers
1299,3863,508,348,111,322.333333333333,199.7406651969832,1839,38,13189.83,2019-01-18,2,2,1,5,mid value costumers
1304,3628,14,21,14,16.3333333333333,4.041451884327381,2795,27,14819.3,2016-06-06,0,2,1,3,low value costumers
1310,1524,21,5,1221,415.666666666667,697.4850058125503,63,10,9423.19,2023-11-29,3,2,1,6,mid value costumers
1316,3919,27,95,130,84,52.373657500693994,3656,5,351,2014-01-27,0,2,1,3,low value costumers
1318,3919,62,59,6,42.3333333333333,31.50132272355136,2807,40,5918.8,2016-05-25,0,2,1,3,low value costumers
1319,3918,4,92,4,33.3333333333333,50.80682368868707,3728,15,7014.2,2013-11-16,0,2,1,3,low value costumers
1320,3915,15,7,14,12,4.358898943540674,3781,8,1777.72,2013-09-24,0,2,1,3,low value costumers
1321,3919,25,13,11,16.3333333333333,7.571877794400365,3498,16,11773.33,2014-07-04,0,2,1,3,low value costumers
1325,3919,175,7,7,63,96.99484522385713,3528,20,4735.25,2014-06-04,0,2,1,3,low value costumers
1331,3887,41,8,74,41,33,22,105,60643.85,2024-01-09,3,1,1,5,mid value costumers
1332,3900,8,6,280,98,157.6197957110718,3367,6,1085.5900000000001,2014-11-12,0,2,1,3,low value costumers
1333,3912,16,14,14,14.6666666666667,1.1547005383792515,3394,23,4486.15,2014-10-16,0,2,1,3,low value costumers
1334,3905,98,15,22,45,46.03259714593562,461,49,51963.91,2022-10-27,3,2,1,6,mid value costumers
1338,3915,39,45,10,31.3333333333333,18.717193521821944,3610,9,2867.34,2014-03-14,0,2,1,3,low value costumers
1340,3906,21,14,21,18.6666666666667,4.041451884327381,2396,52,19474.95,2017-07-10,2,2,1,5,mid value costumers
1343,3358,428,60,183,223.666666666667,187.3401540869798,2003,12,9592.46,2018-08-07,2,2,1,5,mid value costumers
1344,3375,57,36,12,35,22.516660498395403,2772,14,3431.4900000000002,2016-06-29,0,2,1,3,low value costumers
1345,3761,14,28,11,17.6666666666667,9.0737717258774655,2445,19,7412.5,2017-05-22,2,2,1,5,mid value costumers
1346,3918,5,23,18,15.3333333333333,9.291573243177568,2620,61,34638.59,2016-11-28,0,1,1,2,low value costumers
1347,3915,28,15,49,30.6666666666667,17.15614564327703,2584,60,11942.68,2017-01-03,0,1,1,2,low value costumers
1348,3548,4,29,1,11.3333333333333,15.37313674346694,3369,18,15355.529999999999,2014-11-10,0,2,1,3,low value costumers
1351,3857,50,48,93,63.6666666666667,25.423086620891127,3666,4,889.12,2014-01-17,0,2,1,3,low value costumers
1352,3900,28,7,21,18.6666666666667,10.692676621563626,3697,7,2451.66,2013-12-17,0,2,1,3,low value costumers
1356,3915,3,174,1,59.3333333333333,99.30928120439366,3701,8,475.45,2013-12-13,0,2,1,3,low value costumers
1357,3834,1104,36,27,389,619.2245150185836,1751,58,15351.14,2019-04-16,2,1,1,4,low value costumers
1360,3795,75,42,20,45.6666666666667,27.682726262659415,1262,70,109861.91,2020-08-17,1,1,2,4,low value costumers
1361,3914,599,17,20,212,335.1551879353802,2003,51,25681.14,2018-08-07,2,2,1,5,mid value costumers
1362,2136,42,126,158,108.666666666667,59.91104516976259,786,15,7962.22,2021-12-06,1,2,1,4,low value costumers
1363,3892,144,28,67,79.6666666666667,59.02824182824128,1048,65,20226.19,2021-03-19,1,1,1,3,low value costumers
1365,3913,28,15,14,19,7.810249675906654,2093,85,35679.14,2018-05-09,2,1,1,4,low value costumers
1367,3865,98,70,42,70,28,3459,7,1170.34,2014-08-12,0,2,1,3,low value costumers
1374,3913,14,48,167,76.3333333333333,80.33886564629434,2249,19,4702.39,2017-12-04,2,2,1,5,mid value costumers
1375,2206,230,1,84,105,115.93532679903913,1715,8,6974.2,2019-05-22,2,2,1,5,mid value costumers
1376,3879,91,28,27,48.6666666666667,36.665151483845435,1975,9,2155.71,2018-09-04,2,2,1,5,mid value costumers
1378,3641,14,28,14,18.6666666666667,8.082903768654761,3165,23,7515.13,2015-06-02,0,2,1,3,low value costumers
1379,3716,7,356,21,128,197.57783276471073,2045,139,157890.36,2018-06-26,2,1,2,5,mid value costumers
1382,3915,37,15,20,24,11.532562594670797,3744,10,4744.16,2013-10-31,0,2,1,3,low value costumers
1386,3914,12,6,8,8.66666666666667,3.0550504633038935,912,68,25512.52,2021-08-02,1,1,1,3,low value costumers
1389,3859,70,84,61,71.6666666666667,11.590225767142474,3501,6,919.8,2014-07-01,0,2,1,3,low value costumers
1390,3914,419,16,5,146.666666666667,235.91170664749416,3291,11,7742.23,2015-01-27,0,2,1,3,low value costumers
1395,3038,151,954,163,422.666666666667,460.18728071659405,1618,8,4657.46,2019-08-27,2,2,1,5,mid value costumers
1397,3858,495,27,66,196,259.6747966206963,1108,112,47173.79,2021-01-18,1,1,1,3,low value costumers
1400,3411,35,59,63,52.3333333333333,15.14375558880073,1118,109,70663.73,2021-01-08,1,1,1,3,low value costumers
1401,3348,37,14,14,21.6666666666667,13.279056191361393,1078,24,10554.23,2021-02-17,1,2,1,4,low value costumers
1403,3913,49,39,53,47,7.211102550927978,3267,15,5618.22,2015-02-20,0,2,1,3,low value costumers
1405,3913,37,150,16,67.6666666666667,72.07172353519329,3698,5,1096.97,2013-12-16,0,2,1,3,low value costumers
1406,3913,5,1,27,11,14,3263,54,10792.789999999999,2015-02-24,0,2,1,3,low value costumers
1409,3912,322,35,24,127,168.9644933114647,2900,15,5264.4,2016-02-22,0,2,1,3,low value costumers
1410,3912,139,512,26,225.666666666667,254.32721705183923,2907,21,6016.03,2016-02-15,0,2,1,3,low value costumers
1411,3911,5,5,3,4.33333333333333,1.1547005383792515,3698,38,33504.99,2013-12-16,0,2,1,3,low value costumers
1413,3908,1,24,27,17.3333333333333,14.224392195567912,1860,36,20625.66,2018-12-28,2,2,1,5,mid value costumers
1415,3908,158,106,48,104,55.02726596879042,3411,6,1337.19,2014-09-29,0,2,1,3,low value costumers
1418,3907,14,7,7,9.33333333333333,4.041451884327381,3274,40,8186.15,2015-02-13,0,2,1,3,low value costumers
1422,3905,23,11,15,16.3333333333333,6.110100926607787,2737,77,53603.76,2016-08-03,0,1,1,2,low value costumers
1423,3905,3142,63,77,1094,1773.6338404529836,491,12,5710.54,2022-09-27,3,2,1,6,mid value costumers
1427,3901,14,14,7,11.6666666666667,4.041451884327381,2389,149,101077.06999999999,2017-07-17,2,1,2,5,mid value costumers
1428,2651,28,22,27,25.6666666666667,3.2145502536643185,2511,5,4800.75,2017-03-17,2,2,1,5,mid value costumers
1429,3901,84,70,63,72.3333333333333,10.692676621563626,3264,12,3059.02,2015-02-23,0,2,1,3,low value costumers
1431,3901,22,63,33,39.3333333333333,21.221058723196006,258,169,64743.98,2023-05-18,3,1,1,5,mid value costumers
1432,3900,21,47,16,28,16.64331697709324,3816,4,2475,2013-08-20,0,2,1,3,low value costumers
1434,3900,31,5,499,178.333333333333,278.0095921606543,3268,6,1286.75,2015-02-19,0,2,1,3,low value costumers
1435,3900,21,6,8,11.6666666666667,8.144527815247077,3039,74,28248.02,2015-10-06,0,1,1,2,low value costumers
1437,3899,77,64,63,68,7.810249675906654,2500,30,8498.74,2017-03-28,2,2,1,5,mid value costumers
1438,3878,18,9,8,11.6666666666667,5.507570547286102,498,134,42959.59,2022-09-20,3,1,1,5,mid value costumers
1439,3899,28,98,21,49,42.579337712087536,421,81,41342.45,2022-12-06,3,1,1,5,mid value costumers
1441,3899,953,118,78,383,494.03947210723965,1020,31,17062.8,2021-04-16,1,2,1,4,low value costumers
1443,3899,68,57,8,44.3333333333333,31.942656954820357,3612,7,1250.8400000000001,2014-03-12,0,2,1,3,low value costumers
1445,3894,15,84,56,51.6666666666667,34.70350606687072,3564,6,779.01,2014-04-29,0,2,1,3,low value costumers
1446,3894,356,603,182,380.333333333333,211.55220002007385,2753,4,3080,2016-07-18,0,2,1,3,low value costumers
1447,3894,5,7,2,4.66666666666667,2.516611478423583,0,746,582391.19,2024-01-31,3,0,0,3,low value costumers
1449,3288,81,21,16,39.3333333333333,36.17089069035117,190,247,97418.53,2023-07-25,3,3,2,8,high value costumers
1450,3893,18,128,1,49,68.94200461257273,3278,84,22464.05,2015-02-09,0,1,1,2,low value costumers
1451,3878,6,7,7,6.66666666666667,0.5773502691896257,2491,129,102306.84999999999,2017-04-06,2,1,2,5,mid value costumers
1452,3893,30,495,34,186.333333333333,267.3206563910341,2660,14,2954.19,2016-10-19,0,2,1,3,low value costumers
1453,3892,26,6,23,18.3333333333333,10.785793124908958,16,149,57295,2024-01-15,3,1,1,5,mid value costumers
1454,2982,56,19,1,25.3333333333333,28.04163571073081,611,117,93911.61,2022-05-30,1,1,1,3,low value costumers
1455,3891,27,34,22,27.6666666666667,6.027713773341708,1003,39,17289.2,2021-05-03,1,2,1,4,low value costumers
1456,3891,504,89,38,210.333333333333,255.59799164573522,462,130,49807.32,2022-10-26,3,1,1,5,mid value costumers
1457,3890,7,15,5,9,5.291502622129181,3053,65,58177.11,2015-09-22,0,1,1,2,low value costumers
1459,3890,50,47,21,39.3333333333333,15.947831618540915,3675,8,437.9,2014-01-08,0,2,1,3,low value costumers
1460,3862,29,55,156,80,67.08949247087803,132,124,70025.41,2023-09-21,3,1,1,5,mid value costumers
1461,3887,8,7,21,12,7.810249675906654,2969,45,15251.74,2015-12-15,0,2,1,3,low value costumers
1462,3880,4,42,11,19,20.223748416156685,15,222,89333.63,2024-01-16,3,3,1,7,high value costumers
1463,3887,36,19,12,22.3333333333333,12.342339054382412,3561,14,630.28,2014-05-02,0,2,1,3,low value costumers
1465,3886,9,4,7,6.66666666666667,2.516611478423583,2849,47,31061.47,2016-04-13,0,2,1,3,low value costumers
1467,3876,9,1523,86,539.333333333333,852.7498656307918,41,45,20085.22,2023-12-21,3,2,1,6,mid value costumers
1468,3885,79,67,35,60.3333333333333,22.744962812309307,3492,6,2593.11,2014-07-10,0,2,1,3,low value costumers
1472,3885,1317,47,245,536.333333333333,683.2871529110827,2261,5,12834,2017-11-22,2,2,1,5,mid value costumers
1474,3879,95,82,29,68.6666666666667,34.961884007206095,2497,43,13640.85,2017-03-31,2,2,1,5,mid value costumers
1478,3540,1127,41,23,397,632.2626036703421,1064,105,38264.6,2021-03-03,1,1,1,3,low value costumers
1480,3879,33,30,46,36.3333333333333,8.504900548115382,23,246,533293.42,2024-01-08,3,3,0,6,mid value costumers
1481,3871,14,12,23,16.3333333333333,5.8594652770823155,2,520,270764.45,2024-01-29,3,0,2,5,mid value costumers
1482,3880,2,15,33,16.6666666666667,15.56705923844749,3302,22,8945.24,2015-01-16,0,2,1,3,low value costumers
1484,3879,15,1,2,6,7.810249675906654,3617,122,13795.36,2014-03-07,0,1,1,2,low value costumers
1486,3878,7,9,5,7,2,2687,169,66871.86,2016-09-22,0,1,1,2,low value costumers
1489,3877,14,15,6,11.6666666666667,4.932882862316247,288,211,96725.59,2023-04-18,3,3,2,8,high value costumers
1490,3877,14,17,11,14,3,20,46,74031.86,2024-01-11,3,2,1,6,mid value costumers
1491,3877,54,23,41,39.3333333333333,15.56705923844749,910,69,29414.81,2021-08-04,1,1,1,3,low value costumers
1492,3872,93,20,643,252,340.57745080965066,798,15,4324.77,2021-11-24,1,2,1,4,low value costumers
1493,3872,19,7,1,9,9.16515138991168,3185,40,39231.22,2015-05-13,0,2,1,3,low value costumers
1496,3868,14,138,26,59.3333333333333,68.39103255057152,2963,99,152471.13,2015-12-21,0,1,2,3,low value costumers
1497,3870,35,58,62,51.6666666666667,14.571661996262929,3709,6,3269.32,2013-12-05,0,2,1,3,low value costumers
1498,3870,7,7,7,7,0,2793,113,26965.88,2016-06-08,0,1,1,2,low value costumers
1499,3870,3,7,4,4.66666666666667,2.0816659994661326,3849,5,1184.6,2013-07-18,0,2,1,3,low value costumers
1501,3600,49,24,68,47,22.06807649071391,3373,8,3004.09,2014-11-06,0,2,1,3,low value costumers
1503,3868,23,5,2,10,11.357816691600547,3268,14,2292.47,2015-02-19,0,2,1,3,low value costumers
1507,3502,1767,160,95,674,947.1235399883165,1021,18,3362.04,2021-04-15,1,2,1,4,low value costumers
1508,3864,111,88,96,98.3333333333333,11.67618659209133,3211,6,1328.54,2015-04-17,0,2,1,3,low value costumers
1509,3864,9,9,40,19.3333333333333,17.897858344878397,3806,4,954.33,2013-08-30,0,2,1,3,low value costumers
1510,3863,192,98,69,119.666666666667,64.29878174066235,565,5,1688.6799999999998,2022-07-15,3,2,1,6,mid value costumers
1511,3863,14,14,13,13.6666666666667,0.5773502691896257,3059,72,15968.7,2015-09-16,0,1,1,2,low value costumers
1512,3852,59,17,3,26.3333333333333,29.143323992525858,2988,16,9347.94,2015-11-26,0,2,1,3,low value costumers
1513,3862,19,28,5,17.3333333333333,11.590225767142474,23,72,155019.88,2024-01-08,3,1,2,6,mid value costumers
1516,3836,30,105,14,49.6666666666667,48.58326186386967,2520,63,12734.46,2017-03-08,2,1,1,4,low value costumers
1517,3858,7,7,7,7,0,2,197,95399.34,2024-01-29,3,3,1,7,high value costumers
1519,3858,28,2,1,10.3333333333333,15.30795000427338,3519,77,10356.710000000001,2014-06-13,0,1,1,2,low value costumers
1524,3856,113,119,54,95.3333333333333,35.92121007612819,2814,9,1773.56,2016-05-18,0,2,1,3,low value costumers
1525,3856,19,8,15,14,5.5677643628300215,2793,33,32861.01,2016-06-08,0,2,1,3,low value costumers
1527,3856,4,65,11,26.6666666666667,33.38163167571851,786,59,34999.76,2021-12-06,1,1,1,3,low value costumers
1528,3855,119,1,34,51.3333333333333,60.87966272355107,3393,15,12608.23,2014-10-17,0,2,1,3,low value costumers
1529,3676,7,8,10,8.33333333333333,1.5275252316519468,1,270,116774.98,2024-01-30,3,3,2,8,high value costumers
1537,3844,9,5,3,5.66666666666667,3.0550504633038935,3205,54,11790.94,2015-04-23,0,2,1,3,low value costumers
1538,3844,116,138,141,131.666666666667,13.650396819628847,3449,4,567.6,2014-08-22,0,2,1,3,low value costumers
1540,3844,44,195,65,101.333333333333,81.79445783996208,390,59,20158.02,2023-01-06,3,1,1,5,mid value costumers
1543,3841,44,7,21,24,18.681541692269406,3563,20,3126.7,2014-04-30,0,2,1,3,low value costumers
1544,3835,42,27,8,25.6666666666667,17.03917055884274,3464,9,1330.98,2014-08-07,0,2,1,3,low value costumers
1545,3840,92,51,70,71,20.518284528683193,272,75,102965.39,2023-05-04,3,1,2,6,mid value costumers
1546,3837,62,71,62,65,5.196152422706632,20,86,20616.12,2024-01-11,3,1,1,5,mid value costumers
1548,3837,43,26,30,33,8.888194417315589,3500,13,2455.71,2014-07-02,0,2,1,3,low value costumers
1549,3836,1555,44,27,542,877.3249113070938,2210,4,1749.54,2018-01-12,2,2,1,5,mid value costumers
1550,3836,17,18,35,23.3333333333333,10.115993936995679,2638,31,13911.039999999999,2016-11-10,0,2,1,3,low value costumers
1551,3835,733,29,30,264,406.16622213079216,1722,46,12746.92,2019-05-15,2,2,1,5,mid value costumers
1554,3816,182,56,7,81.6666666666667,90.27919657004782,784,153,81193.37,2021-12-08,1,1,1,3,low value costumers
1555,3835,22,14,28,21.3333333333333,7.023769168568493,525,12,2767.31,2022-08-24,3,2,1,6,mid value costumers
1557,3829,405,35,70,170,204.26698215815497,2388,30,8396.59,2017-07-18,2,2,1,5,mid value costumers
1558,3829,21,52,4,25.6666666666667,24.33789911502908,2970,15,4825,2015-12-14,0,2,1,3,low value costumers
1559,3829,426,29,35,163.333333333333,227.49578750678734,805,49,23543.6,2021-11-17,1,2,1,4,low value costumers
1561,2988,67,126,1108,433.666666666667,584.7344126467445,1457,13,12300.77,2020-02-04,1,2,1,4,low value costumers
1562,3828,15,20,6,13.6666666666667,7.094598884597588,3563,17,4546.83,2014-04-30,0,2,1,3,low value costumers
1563,3827,14,9,5,9.33333333333333,4.509249752822894,2324,26,7160.78,2017-09-20,2,2,1,5,mid value costumers
1564,3824,2,19,7,9.33333333333333,8.736894948054104,0,51,15876.91,2024-01-31,3,2,1,6,mid value costumers
1567,3822,8,5,10,7.66666666666667,2.516611478423583,3667,16,9118.13,2014-01-16,0,2,1,3,low value costumers
1568,3822,7,7,21,11.6666666666667,8.082903768654761,2815,83,28986.72,2016-05-17,0,1,1,2,low value costumers
1569,3820,7,3,2,4,2.6457513110645907,3551,68,7347.12,2014-05-12,0,1,1,2,low value costumers
1571,3821,13,84,55,50.6666666666667,35.697805721547276,3522,6,996.79,2014-06-10,0,2,1,3,low value costumers
1572,3820,70,27,15,37.3333333333333,28.919428302325297,3661,7,2257.44,2014-01-22,0,2,1,3,low value costumers
1576,3817,3,3,5,3.66666666666667,1.1547005383792515,2,556,222704.62,2024-01-29,3,0,2,5,mid value costumers
1577,3717,29,95,57,60.3333333333333,33.126021996812916,3074,20,9218.39,2015-09-01,0,2,1,3,low value costumers
1578,3817,35,34,36,35,1,2942,22,7614.09,2016-01-11,0,2,1,3,low value costumers
1579,3816,1917,201,78,732,1028.0812224722324,688,15,2796.54,2022-03-14,1,2,1,4,low value costumers
1581,3815,64,70,62,65.3333333333333,4.163331998932265,3158,16,3559.03,2015-06-09,0,2,1,3,low value costumers
1584,3814,4,38,11,17.6666666666667,17.95364401266031,2459,115,133845.5,2017-05-08,2,1,2,5,mid value costumers
1585,3814,23,73,338,144.666666666667,169.28772351630622,3269,5,443.16,2015-02-18,0,2,1,3,low value costumers
1586,3812,91,23,112,75.3333333333333,46.52239604033023,1623,58,11216.6,2019-08-22,2,1,1,4,low value costumers
1587,3810,7,28,14,16.3333333333333,10.692676621563626,2571,76,70633.81999999999,2017-01-16,0,1,1,2,low value costumers
1588,3810,24,11,35,23.3333333333333,12.013880860626733,453,142,99084.21,2022-11-04,3,1,2,6,mid value costumers
1592,3806,36,12,420,156,228.94540834006696,3338,4,63.89,2014-12-11,0,2,1,3,low value costumers
1593,3806,13,59,3,25,29.866369046136157,3255,18,3847.76,2015-03-04,0,2,1,3,low value costumers
1601,3802,32,32,3,22.3333333333333,16.743157806499145,1671,74,26604.1,2019-07-05,2,1,1,4,low value costumers
1602,3802,35,14,14,21,12.12435565298214,2415,17,7535.68,2017-06-21,2,2,1,5,mid value costumers
1603,3801,31,35,60,42,15.716233645501712,1143,84,33736.42,2020-12-14,1,1,1,3,low value costumers
1604,3740,4,31,27,20.6666666666667,14.571661996262929,2836,30,12486.97,2016-04-26,0,2,1,3,low value costumers
1605,3799,14,27,20,20.3333333333333,6.506407098647712,3731,5,1807.32,2013-11-13,0,2,1,3,low value costumers
1607,3778,8,7,7,7.33333333333333,0.5773502691896257,3492,18,4799.37,2014-07-10,0,2,1,3,low value costumers
1608,3793,2,7,20,9.66666666666667,9.291573243177568,3211,34,8421.69,2015-04-17,0,2,1,3,low value costumers
1611,3795,178,72,105,118.333333333333,54.24327915358117,1479,33,25393.61,2020-01-13,1,2,1,4,low value costumers
1616,3792,5,4,3,4,1,0,630,566240.63,2024-01-31,3,0,0,3,low value costumers
1617,3793,1,21,175,65.6666666666667,95.21204405606117,967,206,58773.87,2021-06-08,1,3,1,5,mid value costumers
1619,3778,7,21,28,18.6666666666667,10.692676621563626,2855,9,1462.01,2016-04-07,0,2,1,3,low value costumers
1621,3792,7,7,8,7.33333333333333,0.5773502691896257,3717,7,2848.7799999999997,2013-11-27,0,2,1,3,low value costumers
1624,3789,713,28,30,257,394.90885024268573,1253,85,22694.05,2020-08-26,1,1,1,3,low value costumers
1625,3789,83,41,50,58,22.11334438749598,3551,6,955.7,2014-05-12,0,2,1,3,low value costumers
1627,3787,29,24,17,23.3333333333333,6.027713773341708,12,196,52091.6,2024-01-19,3,3,1,7,high value costumers
1628,3788,77,32,50,53,22.64950330581225,15,188,94217.88,2024-01-16,3,3,1,7,high value costumers
1630,3684,1,11,10,7.33333333333333,5.507570547286102,3081,5,6989.11,2015-08-25,0,2,1,3,low value costumers
1631,3786,15,6,8,9.66666666666667,4.725815626252608,0,420,139985.76,2024-01-31,3,0,2,5,mid value costumers
1632,3785,14,28,28,23.3333333333333,8.082903768654761,3662,8,2249.25,2014-01-21,0,2,1,3,low value costumers
1633,3782,248,397,56,233.666666666667,170.95126011039912,1084,52,20072.32,2021-02-11,1,2,1,4,low value costumers
1637,3409,770,73,10,284.333333333333,421.77758751898295,9,46,9801.68,2024-01-22,3,2,1,6,mid value costumers
1638,3780,13,8,62,27.6666666666667,29.83845393671283,2746,101,26945.57,2016-07-25,0,1,1,2,low value costumers
1639,3780,308,42,42,130.666666666667,153.57517160444044,3291,9,2194.59,2015-01-27,0,2,1,3,low value costumers
1640,3779,2751,6,4,920.333333333333,1585.40415457174,930,12,18619.36,2021-07-15,1,2,1,4,low value costumers
1642,3777,1,552,58,203.666666666667,303.00880075227735,1349,136,63047.99,2020-05-22,1,1,1,3,low value costumers
1643,3779,8,14,8,10,3.4641016151377544,3268,32,6568.59,2015-02-19,0,2,1,3,low value costumers
1644,3778,48,119,84,83.6666666666667,35.50117368951811,2583,19,4854.82,2017-01-04,0,2,1,3,low value costumers
1646,3773,49,19,17,28.3333333333333,17.925772879665004,3283,22,1775.58,2015-02-04,0,2,1,3,low value costumers
1647,3772,7,40,37,28,18.24828759089466,3305,14,6457.95,2015-01-13,0,2,1,3,low value costumers
